name,date,value,category
Afghanistan,2020-03-01,1.0,AS
Afghanistan,2020-03-02,1.0,AS
Afghanistan,2020-03-03,1.0,AS
Afghanistan,2020-03-04,1.0,AS
Afghanistan,2020-03-05,1.0,AS
Afghanistan,2020-03-06,1.0,AS
Afghanistan,2020-03-07,1.0,AS
Afghanistan,2020-03-08,4.0,AS
Afghanistan,2020-03-09,4.0,AS
Afghanistan,2020-03-10,5.0,AS
Afghanistan,2020-03-11,7.0,AS
Afghanistan,2020-03-12,7.0,AS
Afghanistan,2020-03-13,7.0,AS
Afghanistan,2020-03-14,11.0,AS
Afghanistan,2020-03-15,16.0,AS
Afghanistan,2020-03-16,21.0,AS
Afghanistan,2020-03-17,22.0,AS
Afghanistan,2020-03-18,22.0,AS
Afghanistan,2020-03-19,22.0,AS
Afghanistan,2020-03-20,24.0,AS
Afghanistan,2020-03-21,24.0,AS
Afghanistan,2020-03-22,40.0,AS
Afghanistan,2020-03-23,40.0,AS
Afghanistan,2020-03-24,74.0,AS
Afghanistan,2020-03-25,84.0,AS
Afghanistan,2020-03-26,94.0,AS
Afghanistan,2020-03-27,110.0,AS
Afghanistan,2020-03-28,110.0,AS
Afghanistan,2020-03-29,120.0,AS
Afghanistan,2020-03-30,170.0,AS
Afghanistan,2020-03-31,174.0,AS
Afghanistan,2020-04-01,237.0,AS
Afghanistan,2020-04-02,273.0,AS
Afghanistan,2020-04-03,281.0,AS
Afghanistan,2020-04-04,299.0,AS
Afghanistan,2020-04-05,349.0,AS
Albania,2020-03-01,0.0,EU
Albania,2020-03-02,0.0,EU
Albania,2020-03-03,0.0,EU
Albania,2020-03-04,0.0,EU
Albania,2020-03-05,0.0,EU
Albania,2020-03-06,0.0,EU
Albania,2020-03-07,0.0,EU
Albania,2020-03-08,0.0,EU
Albania,2020-03-09,2.0,EU
Albania,2020-03-10,10.0,EU
Albania,2020-03-11,12.0,EU
Albania,2020-03-12,23.0,EU
Albania,2020-03-13,33.0,EU
Albania,2020-03-14,38.0,EU
