name,date,value
Afghanistan,2020-03-22,1.0
Afghanistan,2020-03-23,1.0
Afghanistan,2020-03-24,1.0
Afghanistan,2020-03-25,2.0
Afghanistan,2020-03-26,4.0
Afghanistan,2020-03-27,4.0
Afghanistan,2020-03-28,4.0
Afghanistan,2020-03-29,4.0
Afghanistan,2020-03-30,4.0
Afghanistan,2020-03-31,4.0
Afghanistan,2020-04-01,4.0
Afghanistan,2020-04-02,6.0
Afghanistan,2020-04-03,6.0
Afghanistan,2020-04-04,7.0
Afghanistan,2020-04-05,7.0
Albania,2020-03-11,1.0
Albania,2020-03-12,1.0
Albania,2020-03-13,1.0
Albania,2020-03-14,1.0
Albania,2020-03-15,1.0
Albania,2020-03-16,1.0
Albania,2020-03-17,1.0
Albania,2020-03-18,2.0
Albania,2020-03-19,2.0
Albania,2020-03-20,2.0
Albania,2020-03-21,2.0
Albania,2020-03-22,2.0
Albania,2020-03-23,4.0
Albania,2020-03-24,5.0
Albania,2020-03-25,5.0
Albania,2020-03-26,6.0
Albania,2020-03-27,8.0
Albania,2020-03-28,10.0
Albania,2020-03-29,10.0
Albania,2020-03-30,11.0
Albania,2020-03-31,15.0
Albania,2020-04-01,15.0
Albania,2020-04-02,16.0
Albania,2020-04-03,17.0
Albania,2020-04-04,20.0
Albania,2020-04-05,20.0
Algeria,2020-03-12,1.0
Algeria,2020-03-13,2.0
Algeria,2020-03-14,3.0
Algeria,2020-03-15,4.0
Algeria,2020-03-16,4.0
Algeria,2020-03-17,4.0
Algeria,2020-03-18,7.0
Algeria,2020-03-19,9.0
Algeria,2020-03-20,11.0
Algeria,2020-03-21,15.0
Algeria,2020-03-22,17.0
Algeria,2020-03-23,17.0
Algeria,2020-03-24,19.0
Algeria,2020-03-25,21.0
Algeria,2020-03-26,25.0
Algeria,2020-03-27,26.0
Algeria,2020-03-28,29.0
Algeria,2020-03-29,31.0
Algeria,2020-03-30,35.0
Algeria,2020-03-31,44.0
Algeria,2020-04-01,58.0
Algeria,2020-04-02,86.0
Algeria,2020-04-03,105.0
Algeria,2020-04-04,130.0
Algeria,2020-04-05,152.0
Andorra,2020-03-22,1.0
Andorra,2020-03-23,1.0
Andorra,2020-03-24,1.0
Andorra,2020-03-25,1.0
Andorra,2020-03-26,3.0
Andorra,2020-03-27,3.0
Andorra,2020-03-28,3.0
Andorra,2020-03-29,6.0
Andorra,2020-03-30,8.0
Andorra,2020-03-31,12.0
Andorra,2020-04-01,14.0
Andorra,2020-04-02,15.0
Andorra,2020-04-03,16.0
Andorra,2020-04-04,17.0
Andorra,2020-04-05,18.0
Angola,2020-03-29,2.0
Angola,2020-03-30,2.0
Angola,2020-03-31,2.0
Angola,2020-04-01,2.0
Angola,2020-04-02,2.0
Angola,2020-04-03,2.0
Angola,2020-04-04,2.0
Angola,2020-04-05,2.0
Argentina,2020-03-08,1.0
Argentina,2020-03-09,1.0
Argentina,2020-03-10,1.0
Argentina,2020-03-11,1.0
Argentina,2020-03-12,1.0
Argentina,2020-03-13,2.0
Argentina,2020-03-14,2.0
Argentina,2020-03-15,2.0
Argentina,2020-03-16,2.0
Argentina,2020-03-17,2.0
Argentina,2020-03-18,2.0
Argentina,2020-03-19,3.0
Argentina,2020-03-20,3.0
Argentina,2020-03-21,4.0
Argentina,2020-03-22,4.0
Argentina,2020-03-23,4.0
Argentina,2020-03-24,6.0
Argentina,2020-03-25,8.0
Argentina,2020-03-26,9.0
Argentina,2020-03-27,13.0
Argentina,2020-03-28,18.0
Argentina,2020-03-29,19.0
Argentina,2020-03-30,23.0
Argentina,2020-03-31,27.0
Argentina,2020-04-01,28.0
Argentina,2020-04-02,36.0
Argentina,2020-04-03,39.0
Argentina,2020-04-04,43.0
Argentina,2020-04-05,44.0
Armenia,2020-03-26,1.0
Armenia,2020-03-27,1.0
Armenia,2020-03-28,1.0
Armenia,2020-03-29,3.0
Armenia,2020-03-30,3.0
Armenia,2020-03-31,3.0
Armenia,2020-04-01,4.0
Armenia,2020-04-02,7.0
Armenia,2020-04-03,7.0
Armenia,2020-04-04,7.0
Armenia,2020-04-05,7.0
Australia,2020-03-01,1.0
Australia,2020-03-02,1.0
Australia,2020-03-03,1.0
Australia,2020-03-04,2.0
Australia,2020-03-05,2.0
Australia,2020-03-06,2.0
Australia,2020-03-07,2.0
Australia,2020-03-08,3.0
Australia,2020-03-09,3.0
Australia,2020-03-10,3.0
Australia,2020-03-11,3.0
Australia,2020-03-12,3.0
Australia,2020-03-13,3.0
Australia,2020-03-14,3.0
Australia,2020-03-15,3.0
Australia,2020-03-16,3.0
Australia,2020-03-17,5.0
Australia,2020-03-18,6.0
Australia,2020-03-19,6.0
Australia,2020-03-20,7.0
Australia,2020-03-21,7.0
Australia,2020-03-22,7.0
Australia,2020-03-23,7.0
Australia,2020-03-24,8.0
Australia,2020-03-25,8.0
Australia,2020-03-26,13.0
Australia,2020-03-27,13.0
Australia,2020-03-28,14.0
Australia,2020-03-29,16.0
Australia,2020-03-30,17.0
Australia,2020-03-31,18.0
Australia,2020-04-01,20.0
Australia,2020-04-02,24.0
Australia,2020-04-03,28.0
Australia,2020-04-04,30.0
Australia,2020-04-05,35.0
Austria,2020-03-12,1.0
Austria,2020-03-13,1.0
Austria,2020-03-14,1.0
Austria,2020-03-15,1.0
Austria,2020-03-16,3.0
Austria,2020-03-17,3.0
Austria,2020-03-18,4.0
Austria,2020-03-19,6.0
Austria,2020-03-20,6.0
Austria,2020-03-21,8.0
Austria,2020-03-22,16.0
Austria,2020-03-23,21.0
Austria,2020-03-24,28.0
Austria,2020-03-25,30.0
Austria,2020-03-26,49.0
Austria,2020-03-27,58.0
Austria,2020-03-28,68.0
Austria,2020-03-29,86.0
Austria,2020-03-30,108.0
Austria,2020-03-31,128.0
Austria,2020-04-01,146.0
Austria,2020-04-02,158.0
Austria,2020-04-03,168.0
Austria,2020-04-04,186.0
Austria,2020-04-05,204.0
Azerbaijan,2020-03-13,1.0
Azerbaijan,2020-03-14,1.0
Azerbaijan,2020-03-15,1.0
Azerbaijan,2020-03-16,1.0
Azerbaijan,2020-03-17,1.0
Azerbaijan,2020-03-18,1.0
Azerbaijan,2020-03-19,1.0
Azerbaijan,2020-03-20,1.0
Azerbaijan,2020-03-21,1.0
Azerbaijan,2020-03-22,1.0
Azerbaijan,2020-03-23,1.0
Azerbaijan,2020-03-24,1.0
Azerbaijan,2020-03-25,2.0
Azerbaijan,2020-03-26,3.0
Azerbaijan,2020-03-27,3.0
Azerbaijan,2020-03-28,4.0
Azerbaijan,2020-03-29,4.0
Azerbaijan,2020-03-30,4.0
Azerbaijan,2020-03-31,5.0
Azerbaijan,2020-04-01,5.0
Azerbaijan,2020-04-02,5.0
Azerbaijan,2020-04-03,5.0
Azerbaijan,2020-04-04,5.0
Azerbaijan,2020-04-05,7.0
Bahamas,2020-04-01,1.0
Bahamas,2020-04-02,1.0
Bahamas,2020-04-03,1.0
Bahamas,2020-04-04,4.0
Bahamas,2020-04-05,4.0
Bahrain,2020-03-16,1.0
Bahrain,2020-03-17,1.0
Bahrain,2020-03-18,1.0
Bahrain,2020-03-19,1.0
Bahrain,2020-03-20,1.0
Bahrain,2020-03-21,1.0
Bahrain,2020-03-22,2.0
Bahrain,2020-03-23,2.0
Bahrain,2020-03-24,3.0
Bahrain,2020-03-25,4.0
Bahrain,2020-03-26,4.0
Bahrain,2020-03-27,4.0
Bahrain,2020-03-28,4.0
Bahrain,2020-03-29,4.0
Bahrain,2020-03-30,4.0
Bahrain,2020-03-31,4.0
Bahrain,2020-04-01,4.0
Bahrain,2020-04-02,4.0
Bahrain,2020-04-03,4.0
Bahrain,2020-04-04,4.0
Bahrain,2020-04-05,4.0
Bangladesh,2020-03-18,1.0
Bangladesh,2020-03-19,1.0
Bangladesh,2020-03-20,1.0
Bangladesh,2020-03-21,2.0
Bangladesh,2020-03-22,2.0
Bangladesh,2020-03-23,3.0
Bangladesh,2020-03-24,4.0
Bangladesh,2020-03-25,5.0
Bangladesh,2020-03-26,5.0
Bangladesh,2020-03-27,5.0
Bangladesh,2020-03-28,5.0
Bangladesh,2020-03-29,5.0
Bangladesh,2020-03-30,5.0
Bangladesh,2020-03-31,5.0
Bangladesh,2020-04-01,6.0
Bangladesh,2020-04-02,6.0
Bangladesh,2020-04-03,6.0
Bangladesh,2020-04-04,8.0
Bangladesh,2020-04-05,9.0
Barbados,2020-04-05,1.0
Belarus,2020-03-31,1.0
Belarus,2020-04-01,2.0
Belarus,2020-04-02,4.0
Belarus,2020-04-03,4.0
Belarus,2020-04-04,5.0
Belarus,2020-04-05,8.0
Belgium,2020-03-11,3.0
Belgium,2020-03-12,3.0
Belgium,2020-03-13,3.0
Belgium,2020-03-14,4.0
Belgium,2020-03-15,4.0
Belgium,2020-03-16,5.0
Belgium,2020-03-17,10.0
Belgium,2020-03-18,14.0
Belgium,2020-03-19,21.0
Belgium,2020-03-20,37.0
Belgium,2020-03-21,67.0
Belgium,2020-03-22,75.0
Belgium,2020-03-23,88.0
Belgium,2020-03-24,122.0
Belgium,2020-03-25,178.0
Belgium,2020-03-26,220.0
Belgium,2020-03-27,289.0
Belgium,2020-03-28,353.0
Belgium,2020-03-29,431.0
Belgium,2020-03-30,513.0
Belgium,2020-03-31,705.0
Belgium,2020-04-01,828.0
Belgium,2020-04-02,1011.0
Belgium,2020-04-03,1143.0
Belgium,2020-04-04,1283.0
Belgium,2020-04-05,1447.0
Bolivia,2020-03-29,1.0
Bolivia,2020-03-30,4.0
Bolivia,2020-03-31,6.0
Bolivia,2020-04-01,7.0
Bolivia,2020-04-02,8.0
Bolivia,2020-04-03,9.0
Bolivia,2020-04-04,10.0
Bolivia,2020-04-05,10.0
Bosnia and Herzegovina,2020-03-21,1.0
Bosnia and Herzegovina,2020-03-22,1.0
Bosnia and Herzegovina,2020-03-23,1.0
Bosnia and Herzegovina,2020-03-24,3.0
Bosnia and Herzegovina,2020-03-25,3.0
Bosnia and Herzegovina,2020-03-26,3.0
Bosnia and Herzegovina,2020-03-27,4.0
Bosnia and Herzegovina,2020-03-28,5.0
Bosnia and Herzegovina,2020-03-29,6.0
Bosnia and Herzegovina,2020-03-30,10.0
Bosnia and Herzegovina,2020-03-31,13.0
Bosnia and Herzegovina,2020-04-01,13.0
Bosnia and Herzegovina,2020-04-02,16.0
Bosnia and Herzegovina,2020-04-03,17.0
Bosnia and Herzegovina,2020-04-04,21.0
Bosnia and Herzegovina,2020-04-05,23.0
Botswana,2020-03-31,1.0
Botswana,2020-04-01,1.0
Botswana,2020-04-02,1.0
Botswana,2020-04-03,1.0
Botswana,2020-04-04,1.0
Botswana,2020-04-05,1.0
Brazil,2020-03-17,1.0
Brazil,2020-03-18,3.0
Brazil,2020-03-19,6.0
Brazil,2020-03-20,11.0
Brazil,2020-03-21,15.0
Brazil,2020-03-22,25.0
Brazil,2020-03-23,34.0
Brazil,2020-03-24,46.0
Brazil,2020-03-25,59.0
Brazil,2020-03-26,77.0
Brazil,2020-03-27,92.0
Brazil,2020-03-28,111.0
Brazil,2020-03-29,136.0
Brazil,2020-03-30,159.0
Brazil,2020-03-31,201.0
Brazil,2020-04-01,240.0
Brazil,2020-04-02,324.0
Brazil,2020-04-03,359.0
Brazil,2020-04-04,445.0
Brazil,2020-04-05,486.0
Brunei,2020-03-28,1.0
Brunei,2020-03-29,1.0
Brunei,2020-03-30,1.0
Brunei,2020-03-31,1.0
Brunei,2020-04-01,1.0
Brunei,2020-04-02,1.0
Brunei,2020-04-03,1.0
Brunei,2020-04-04,1.0
Brunei,2020-04-05,1.0
Bulgaria,2020-03-11,1.0
Bulgaria,2020-03-12,1.0
Bulgaria,2020-03-13,1.0
Bulgaria,2020-03-14,2.0
Bulgaria,2020-03-15,2.0
Bulgaria,2020-03-16,2.0
Bulgaria,2020-03-17,2.0
Bulgaria,2020-03-18,2.0
Bulgaria,2020-03-19,3.0
Bulgaria,2020-03-20,3.0
Bulgaria,2020-03-21,3.0
Bulgaria,2020-03-22,3.0
Bulgaria,2020-03-23,3.0
Bulgaria,2020-03-24,3.0
Bulgaria,2020-03-25,3.0
Bulgaria,2020-03-26,3.0
Bulgaria,2020-03-27,3.0
Bulgaria,2020-03-28,7.0
Bulgaria,2020-03-29,8.0
Bulgaria,2020-03-30,8.0
Bulgaria,2020-03-31,8.0
Bulgaria,2020-04-01,10.0
Bulgaria,2020-04-02,10.0
Bulgaria,2020-04-03,14.0
Bulgaria,2020-04-04,17.0
Bulgaria,2020-04-05,20.0
Burkina Faso,2020-03-18,1.0
Burkina Faso,2020-03-19,1.0
Burkina Faso,2020-03-20,1.0
Burkina Faso,2020-03-21,2.0
Burkina Faso,2020-03-22,4.0
Burkina Faso,2020-03-23,4.0
Burkina Faso,2020-03-24,4.0
Burkina Faso,2020-03-25,4.0
Burkina Faso,2020-03-26,7.0
Burkina Faso,2020-03-27,9.0
Burkina Faso,2020-03-28,11.0
Burkina Faso,2020-03-29,12.0
Burkina Faso,2020-03-30,12.0
Burkina Faso,2020-03-31,14.0
Burkina Faso,2020-04-01,16.0
Burkina Faso,2020-04-02,16.0
Burkina Faso,2020-04-03,16.0
Burkina Faso,2020-04-04,16.0
Burkina Faso,2020-04-05,17.0
Burma,2020-03-31,1.0
Burma,2020-04-01,1.0
Burma,2020-04-02,1.0
Burma,2020-04-03,1.0
Burma,2020-04-04,1.0
Burma,2020-04-05,1.0
Cabo Verde,2020-03-24,1.0
Cabo Verde,2020-03-25,1.0
Cabo Verde,2020-03-26,1.0
Cabo Verde,2020-03-27,1.0
Cabo Verde,2020-03-28,1.0
Cabo Verde,2020-03-29,1.0
Cabo Verde,2020-03-30,1.0
Cabo Verde,2020-03-31,1.0
Cabo Verde,2020-04-01,1.0
Cabo Verde,2020-04-02,1.0
Cabo Verde,2020-04-03,1.0
Cabo Verde,2020-04-04,1.0
Cabo Verde,2020-04-05,1.0
Cameroon,2020-03-25,1.0
Cameroon,2020-03-26,1.0
Cameroon,2020-03-27,2.0
Cameroon,2020-03-28,2.0
Cameroon,2020-03-29,6.0
Cameroon,2020-03-30,6.0
Cameroon,2020-03-31,6.0
Cameroon,2020-04-01,6.0
Cameroon,2020-04-02,7.0
Cameroon,2020-04-03,8.0
Cameroon,2020-04-04,9.0
Cameroon,2020-04-05,9.0
Canada,2020-03-09,1.0
Canada,2020-03-10,1.0
Canada,2020-03-11,1.0
Canada,2020-03-12,1.0
Canada,2020-03-13,1.0
