0,1,2,3,4,5,6,7,8,9,10,11,12,date,sitrep
WHO Region,"Country/Territory/
Area","Confirmed 
(new) cases","Total (new) 
cases with 
travel 
history to 
China","Total (new) cases 
with possible    
or confirmed 
transmission 
outside of China","Total (new) 
cases with site 
of transmission 
under 
investigation","Total (new) 
deaths",,,,,,,20200204,15
Western Pacific Region,China*,20471 (3235),,,,425 (64),,,,,,,20200204,15
,Japan,20,17,3,0,0,,,,,,,20200204,15
,Republic of Korea,16 (1),8,5 (1),3,0,,,,,,,20200204,15
,Viet Nam,9 (1),7 (1),2,0,0,,,,,,,20200204,15
,Singapore,18,18,0,0,0,,,,,,,20200204,15
,Australia,12,12,0,0,0,,,,,,,20200204,15
,Malaysia,10 (2),7,2 (1),1 (1),0,,,,,,,20200204,15
,Cambodia,1,1,0,0,0,,,,,,,20200204,15
,Philippines,2,1,0,1,1,,,,,,,20200204,15
South-East Asia Region,Thailand,19,18,1,0,0,,,,,,,20200204,15
,Nepal,1,1,0,0,0,,,,,,,20200204,15
,Sri Lanka,1,1,0,0,0,,,,,,,20200204,15
,India,3,3,0,0,0,,,,,,,20200204,15
Region of the Americas,"United States of 
America",11,8,2,1,0,,,,,,,20200204,15
,Canada,4,3,0,1,0,,,,,,,20200204,15
European Region,France,6,5,1,0,0,,,,,,,20200204,15
,Finland,1,1,0,0,0,,,,,,,20200204,15
,Germany,12 (2),2,10 (2),0,0,,,,,,,20200204,15
,Italy,2,2,0,0,0,,,,,,,20200204,15
,Russian Federation,2,2,0,0,0,,,,,,,20200204,15
,Spain,1,0,1,0,0,,,,,,,20200204,15
,Sweden,1,1,0,0,0,,,,,,,20200204,15
,United Kingdom,2,1,1,0,0,,,,,,,20200204,15
"Eastern Mediterranean 
Region","United Arab 
Emirates",5,5,0,0,0,,,,,,,20200204,15
,,,,,,,,,,,,,20200204,15
,,,,,,,,,,,,,20200204,15
,,,,,,,,,,,,,20200204,15
,,,,,,,,,,,,,20200204,15
,,,,,,,,,,,,,20200204,15
,,,,,,,,,,,,,20200204,15
