0,1,2,3,4,5,6,7,8,9,10,11,date,sitrep
WHO Region,Country/Territory/Area,"Confirmed* 
(new) cases","Total 
(new) 
cases with 
travel 
history to 
China","Total (new) cases 
with    possible    
or confirmed 
transmission 
outside of China†","Total (new) 
cases with site 
of transmission 
under 
investigation","Total (new) 
deaths",,,,,,20200209,20
Western Pacific Region,China‡,37 251 (2657),,,,812 (89),,,,,,20200209,20
,Singapore,40 (7),21 (0),19 (7),0 (0),0 (0),,,,,,20200209,20
,Republic of Korea,27 (3),13 (2),12 (1),2 (0),0 (0),,,,,,20200209,20
,Japan,26 (1),22 (1),4 (0),0 (0),0 (0),,,,,,20200209,20
,Malaysia,17 (2),9 (0),4 (0),4 (2),0 (0),,,,,,20200209,20
,Australia,15 (0),15 (0),0 (0),0 (0),0 (0),,,,,,20200209,20
,Viet Nam,14 (1),8 (0),6 (1),0 (0),0 (0),,,,,,20200209,20
,Philippines,3 (0),2 (0),0 (0),1 (0),1 (0),,,,,,20200209,20
,Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,20200209,20
South-East Asia Region,Thailand,32 (0),22 (0),6 (0),4 (0),0 (0),,,,,,20200209,20
,India,3 (0),3 (0),0 (0),0 (0),0 (0),,,,,,20200209,20
,Nepal,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,20200209,20
,Sri Lanka,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,20200209,20
Region of the Americas,"United States of 
America",12 (0),10 (0),2 (0),0 (0),0 (0),,,,,,20200209,20
,Canada,7 (0),6 (0),0 (0),1 (0),0 (0),,,,,,20200209,20
European Region,Germany,14 (0),2 (0),12†† (0),0 (0),0 (0),,,,,,20200209,20
,France,11 (5),5 (0),6 (5),0 (0),0 (0),,,,,,20200209,20
,Italy,3 (0),3 (0),0 (0),0 (0),0 (0),,,,,,20200209,20
,The United Kingdom,3 (0),1 (0),2*** (0),0 (0),0 (0),,,,,,20200209,20
,Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0),,,,,,20200209,20
,Belgium,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,20200209,20
,Finland,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,20200209,20
,Spain,1 (0),0 (0),1§ (0),0 (0),0 (0),,,,,,20200209,20
,Sweden,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,20200209,20
"Eastern Mediterranean 
Region",United Arab Emirates,7 (0),5 (0),1 (0),1 (0),0 (0),,,,,,20200209,20
Other,"International 
conveyance (Japan)",64** (0),0 (0),0 (0),64 (0),0 (0),,,,,,20200209,20
,,,,,,,,,,,,20200209,20
,,,,,,,,,,,,20200209,20
,,,,,,,,,,,,20200209,20
,,,,,,,,,,,,20200209,20
,,,,,,,,,,,,20200209,20
,,,,,,,,,,,,20200209,20
