0,1,2,3,4,5,6,7,8,9,10,11,12,13,date,sitrep
,,,,,,,,,,,,,,20200212,23
,,,,,,,,,,,,,,20200212,23
,,,,,,,,,,,,,,20200212,23
,,,,,,,,,,,,,,20200212,23
,,,,,,,,,,,,,,20200212,23
,,,,,,,,,,,,,,20200212,23
WHO Region,Country/Territory/Area,"Confirmed* 
cases (new)","Total 
cases with 
travel 
history to 
China 
(new)","Total cases with    
possible or 
confirmed 
transmission 
outside of China† 
(new)","Total cases with 
site of 
transmission 
under 
investigation 
(new)","Total deaths 
(new)",,,,,,,,20200212,23
Western Pacific Region,China‡,44 730 (2022),,,,1114 (97),,,,,,,,20200212,23
,Singapore,47 (2),22 (0),25 (2),0 (0),0 (0),,,,,,,,20200212,23
,Japan,28 (2),24 (2),4 (0),0 (0),0 (0),,,,,,,,20200212,23
,Republic of Korea,28 (0),13 (0),12§§ (0),3 (0),0 (0),,,,,,,,20200212,23
,Malaysia,18 (0),15 (0),3‡‡ (0),0 (0),0 (0),,,,,,,,20200212,23
,Australia,15 (0),15 (0),0 (0),0 (0),0 (0),,,,,,,,20200212,23
,Viet Nam,15 (0),8 (0),7 (0),0 (0),0 (0),,,,,,,,20200212,23
,Philippines,3 (0),2 (0),0 (0),1 (0),1 (0),,,,,,,,20200212,23
,Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,20200212,23
South-East Asia Region,Thailand,33 (0),23 (0),6††† (0),4 (0),0 (0),,,,,,,,20200212,23
,India,3 (0),3 (0),0 (0),0 (0),0 (0),,,,,,,,20200212,23
,Nepal,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,20200212,23
,Sri Lanka,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,20200212,23
Region of the Americas,"United States of 
America",13 (0),11 (0),2 (0),0 (0),0 (0),,,,,,,,20200212,23
,Canada,7 (0),6 (0),0 (0),1 (0),0 (0),,,,,,,,20200212,23
European Region,Germany,16 (2),2 (0),14 (2),0 (0),0 (0),,,,,,,,20200212,23
,France,11 (0),5 (0),6 (0),0 (0),0 (0),,,,,,,,20200212,23
,The United Kingdom,8 (0),1 (0),7*** (0),0 (0),0 (0),,,,,,,,20200212,23
,Italy,3 (0),3 (0),0 (0),0 (0),0 (0),,,,,,,,20200212,23
,Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0),,,,,,,,20200212,23
,Spain,2 (0),0 (0),2§ (0),0 (0),0 (0),,,,,,,,20200212,23
,Belgium,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,20200212,23
,Finland,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,20200212,23
,Sweden,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,20200212,23
"Eastern Mediterranean 
Region",United Arab Emirates,8 (0),6 (0),1 (0),1 (0),0 (0),,,,,,,,20200212,23
Other,"International 
conveyance (Japan)",175** (40),0 (0),1 (1),174 (39),0 (0),,,,,,,,20200212,23
,,,,,,,,,,,,,,20200212,23
,,,,,,,,,,,,,,20200212,23
,,,,,,,,,,,,,,20200212,23
,,,,,,,,,,,,,,20200212,23
,,,,,,,,,,,,,,20200212,23
,,,,,,,,,,,,,,20200212,23
