0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,date,sitrep
"Province/  
Region/  
City",Daily,,,,,Cumulative,,,,,,,,,,,,,,20200216,27
,"Laboratory 
confirmed","Clinically 
diagnosed","Total 
cases","Suspected 
cases",Deaths,"Laboratory 
confirmed","Clinically 
diagnosed","Total 
cases",Deaths,,,,,,,,,,,20200216,27
Hubei,955,888,1843,1036,139,38839,17410,56249,1596,,,,,,,,,,,20200216,27
Guangdong,22,-,22,2,0,1316,-,1316,2,,,,,,,,,,,20200216,27
Henan,19,-,19,137,0,1231,-,1231,13,,,,,,,,,,,20200216,27
Zhejiang,5,-,5,23,0,1167,-,1167,0,,,,,,,,,,,20200216,27
Hunan,3,-,3,36,1,1004,-,1004,3,,,,,,,,,,,20200216,27
Anhui,12,-,12,6,0,962,-,962,6,,,,,,,,,,,20200216,27
Jiangxi,13,-,13,7,0,925,-,925,1,,,,,,,,,,,20200216,27
Jiangsu,13,-,13,9,0,617,-,617,0,,,,,,,,,,,20200216,27
Chongqing,7,-,7,75,0,544,-,544,5,,,,,,,,,,,20200216,27
Shandong,7,-,7,22,0,537,-,537,2,,,,,,,,,,,20200216,27
Sichuan,11,-,11,46,2,481,-,481,3,,,,,,,,,,,20200216,27
Heilongjiang,20,-,20,44,0,445,-,445,11,,,,,,,,,,,20200216,27
Beijing,5,-,5,35,0,380,-,380,4,,,,,,,,,,,20200216,27
Shanghai,2,-,2,75,0,328,-,328,1,,,,,,,,,,,20200216,27
Hebei,9,-,9,2,0,300,-,300,3,,,,,,,,,,,20200216,27
Fujian,2,-,2,2,0,287,-,287,0,,,,,,,,,,,20200216,27
Guangxi,2,-,2,49,0,237,-,237,2,,,,,,,,,,,20200216,27
Shaanxi,4,-,4,15,0,236,-,236,0,,,,,,,,,,,20200216,27
Yunnan,1,-,1,37,0,169,-,169,0,,,,,,,,,,,20200216,27
Hainan,0,-,0,30,0,162,-,162,4,,,,,,,,,,,20200216,27
Guizhou,1,-,1,8,0,144,-,144,1,,,,,,,,,,,20200216,27
Shanxi,1,-,1,15,0,128,-,128,0,,,,,,,,,,,20200216,27
Tianjin,2,-,2,109,0,122,-,122,3,,,,,,,,,,,20200216,27
Liaoning,1,-,1,69,0,120,-,120,1,,,,,,,,,,,20200216,27
Gansu,0,-,0,1,0,90,-,90,2,,,,,,,,,,,20200216,27
Jilin,1,-,1,16,0,89,-,89,1,,,,,,,,,,,20200216,27
Xinjiang,1,-,1,3,0,71,-,71,1,,,,,,,,,,,20200216,27
Ningxia,0,-,0,5,0,70,-,70,0,,,,,,,,,,,20200216,27
Inner Mongolia,2,-,2,4,0,70,-,70,0,,,,,,,,,,,20200216,27
Hong Kong Sar,0,-,0,0,0,56,-,56,1,,,,,,,,,,,20200216,27
Taipei and environs,0,-,0,0,0,18,-,18,0,,,,,,,,,,,20200216,27
Qinghai,0,-,0,0,0,18,-,18,0,,,,,,,,,,,20200216,27
Macao Sar,0,-,0,0,0,10,-,10,0,,,,,,,,,,,20200216,27
Xizang,0,-,0,0,0,1,-,1,0,,,,,,,,,,,20200216,27
Totals,1121,888,2009,1918,142,51174,17410,68584,1666,,,,,,,,,,,20200216,27
WHO Region,Country/Territory/Area,"Confirmed* 
cases (new)","Total 
cases with 
travel 
history to 
China 
(new)","Total cases with    
possible or 
confirmed 
transmission 
outside of China† 
(new)","Total cases with 
site of 
transmission 
under 
investigation 
(new)","Total deaths 
(new)",,,,,,,,,,,,,,20200216,27
Western Pacific Region,Singapore,72 (5),22 (0),49 (5),1 (0),0 (0),,,,,,,,,,,,,,20200216,27
,Japan,53 (12),26 (1),27 (11),0 (0),1 (0),,,,,,,,,,,,,,20200216,27
,Republic of Korea,29 (1),13 (0),13‡ (1),3 (0),0 (0),,,,,,,,,,,,,,20200216,27
,Malaysia,22 (1),17 (0),4§ (0),1 (1),0 (0),,,,,,,,,,,,,,20200216,27
,Viet Nam,16 (0),8 (0),8 (0),0 (0),0 (0),,,,,,,,,,,,,,20200216,27
,Australia,15 (0),12 (0),3 (0),0 (0),0 (0),,,,,,,,,,,,,,20200216,27
,Philippines,3 (0),3 (0),0 (0),0 (0),1 (0),,,,,,,,,,,,,,20200216,27
,Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200216,27
South-East Asia Region,Thailand,34 (0),23 (0),7 (0),4 (0),0 (0),,,,,,,,,,,,,,20200216,27
,India,3 (0),3 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200216,27
,Nepal,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200216,27
,Sri Lanka,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200216,27
Region of the Americas,"United States of 
America",15 (0),13 (0),2 (0),0 (0),0 (0),,,,,,,,,,,,,,20200216,27
,Canada,7 (0),6 (0),0 (0),1 (0),0 (0),,,,,,,,,,,,,,20200216,27
European Region,Germany,16 (0),2 (0),14 (0),0 (0),0 (0),,,,,,,,,,,,,,20200216,27
,France,12 (1),5 (0),7 (1),0 (0),1 (1),,,,,,,,,,,,,,20200216,27
,The United Kingdom,9 (0),2 (0),7** (0),0 (0),0 (0),,,,,,,,,,,,,,20200216,27
,Italy,3 (0),3 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200216,27
,Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200216,27
,Spain,2 (0),0 (0),2†† (0),0 (0),0 (0),,,,,,,,,,,,,,20200216,27
,Belgium,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200216,27
