0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,date,sitrep
"Province/  
Region/  
City","Population 
(10,000s)",Daily,,,Cumulative,,,,,,,,,,,,,,,,,20200219,30
,,"Confirmed 
cases*","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths,,,,,,,,,,,,,,,,20200219,30
Hubei,5917,1693,596,132,61682,1921,,,,,,,,,,,,,,,,20200219,30
Guangdong,11346,3,1,1,1331,5,,,,,,,,,,,,,,,,20200219,30
Henan,9605,5,121,0,1262,19,,,,,,,,,,,,,,,,20200219,30
Zhejiang,5737,1,9,0,1173,0,,,,,,,,,,,,,,,,20200219,30
Hunan,6899,1,12,0,1008,4,,,,,,,,,,,,,,,,20200219,30
Anhui,6324,4,0,0,986,6,,,,,,,,,,,,,,,,20200219,30
Jiangxi,4648,1,0,0,934,1,,,,,,,,,,,,,,,,20200219,30
Jiangsu,8051,2,0,0,631,0,,,,,,,,,,,,,,,,20200219,30
Chongqing,3102,2,41,0,555,5,,,,,,,,,,,,,,,,20200219,30
Shandong,10047,1,8,1,544,3,,,,,,,,,,,,,,,,20200219,30
Sichuan,8341,6,30,0,514,3,,,,,,,,,,,,,,,,20200219,30
Heilongjiang,3773,6,21,1,470,12,,,,,,,,,,,,,,,,20200219,30
Beijing,2154,6,58,0,393,4,,,,,,,,,,,,,,,,20200219,30
Shanghai,2424,0,78,0,333,1,,,,,,,,,,,,,,,,20200219,30
Hebei,7556,4,0,0,306,4,,,,,,,,,,,,,,,,20200219,30
Fujian,3941,1,4,0,293,0,,,,,,,,,,,,,,,,20200219,30
Guangxi,4926,2,12,0,244,2,,,,,,,,,,,,,,,,20200219,30
Shaanxi,3864,2,19,0,242,0,,,,,,,,,,,,,,,,20200219,30
Yunnan,4830,1,16,0,173,0,,,,,,,,,,,,,,,,20200219,30
Hainan,934,0,14,0,163,4,,,,,,,,,,,,,,,,20200219,30
Guizhou,3600,0,2,1,146,2,,,,,,,,,,,,,,,,20200219,30
Shanxi,3718,1,3,0,131,0,,,,,,,,,,,,,,,,20200219,30
Tianjin,1560,3,62,0,128,3,,,,,,,,,,,,,,,,20200219,30
Liaoning,4359,0,64,0,121,1,,,,,,,,,,,,,,,,20200219,30
Gansu,2637,0,0,0,91,2,,,,,,,,,,,,,,,,20200219,30
Jilin,2704,1,11,0,90,1,,,,,,,,,,,,,,,,20200219,30
Xinjiang,2487,0,0,0,76,1,,,,,,,,,,,,,,,,20200219,30
Inner Mongolia,2534,2,3,0,75,0,,,,,,,,,,,,,,,,20200219,30
Ningxia,688,1,0,0,71,0,,,,,,,,,,,,,,,,20200219,30
Hong Kong SAR,745,2,0,0,62,1,,,,,,,,,,,,,,,,20200219,30
Taipei and environs,2359,1,0,0,23,1,,,,,,,,,,,,,,,,20200219,30
Qinghai,603,0,0,0,18,0,,,,,,,,,,,,,,,,20200219,30
Macao SAR,66,0,0,0,10,0,,,,,,,,,,,,,,,,20200219,30
Xizang,344,0,0,0,1,0,,,,,,,,,,,,,,,,20200219,30
Total,142823,1752,1185,136,74280,2006,,,,,,,,,,,,,,,,20200219,30
"Country/Territory/
Area","Confirmed* 
cases (new)",Likely place of exposure†,,,"Total cases with site of 
transmission under 
investigation (new)","Total 
deaths 
(new)",,,,,,,,,,,,,,,,20200219,30
,,"China 
(new)","Outside 
reporting 
country and 
outside 
China (new)","In 
reporting 
country",,,,,,,,,,,,,,,,,,20200219,30
Western Pacific Region,,,,,,,,,,,,,,,,,,,,,,20200219,30
Singapore,81 (4),23 (0),0 (0),51 (3),7 (1),0 (0),,,,,,,,,,,,,,,,20200219,30
Japan,73 (8),26 (0),3 (2),39 (3),5 (3),1 (0),,,,,,,,,,,,,,,,20200219,30
Republic of Korea,51 (20),13 (0),4 (0),29 (18),5 (2),0 (0),,,,,,,,,,,,,,,,20200219,30
Malaysia,22 (0),17 (0),1 (0),2 (0),2 (0),0 (0),,,,,,,,,,,,,,,,20200219,30
Viet Nam,16 (0),8 (0),0 (0),8 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200219,30
Australia,15 (0),12 (0),0 (0),3 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200219,30
Philippines,3 (0),3 (0),0 (0),0 (0),0 (0),1 (0),,,,,,,,,,,,,,,,20200219,30
Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200219,30
South-East Asia Region,,,,,,,,,,,,,,,,,,,,,,20200219,30
Thailand,35 (0),23 (0),0 (0),5 (0),7 (0),0 (0),,,,,,,,,,,,,,,,20200219,30
India,3 (0),3 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200219,30
Nepal,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200219,30
Sri Lanka,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200219,30
Region of the Americas,,,,,,,,,,,,,,,,,,,,,,20200219,30
"United States of 
15 (0) 
13 (0) 
0 (0) 
2 (0) 
0 (0) 
0 (0) 
America",,,,,,,,,,,,,,,,,,,,,,20200219,30
"Canada 
8 (0) 
7 (0) 
0 (0) 
0 (0) 
1 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,20200219,30
European Region,,,,,,,,,,,,,,,,,,,,,,20200219,30
