0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,date,sitrep
"Province/  
Region/  
City","Population 
(10,000s)",Daily,,,Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Hubei,5917,630,631,96,64084,2346,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Guangdong,11346,3,0,1,1342,6,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Henan,9605,1,12,0,1271,19,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Zhejiang,5737,0,2,0,1205,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Hunan,6899,3,0,0,1016,4,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Anhui,6324,0,0,0,989,6,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Jiangxi,4648,0,0,0,934,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Shandong,10047,4,2,0,754,4,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Jiangsu,8051,0,0,0,631,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Chongqing,3102,1,21,0,573,6,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Sichuan,8341,0,15,0,526,3,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Heilongjiang,3773,1,0,0,480,12,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Beijing,2154,0,35,0,399,4,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Shanghai,2424,1,52,0,335,3,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Hebei,7556,2,0,0,311,6,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Fujian,3941,0,0,0,293,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Guangxi,4926,0,12,0,249,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Shaanxi,3864,0,2,0,245,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Yunnan,4830,0,11,0,174,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Hainan,934,0,14,0,168,4,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Guizhou,3600,0,0,0,146,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Tianjin,1560,2,51,0,135,3,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Shanxi,3718,0,1,0,132,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Liaoning,4359,0,13,0,121,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Jilin,2704,0,7,0,91,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Gansu,2637,0,0,0,91,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Xinjiang,2487,0,0,0,76,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Inner Mongolia,2534,0,0,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Ningxia,688,0,1,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Hong Kong SAR,745,2,0,0,70,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Taipei and environs,2359,0,0,0,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Qinghai,603,0,0,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Macao SAR,66,0,0,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Xizang,344,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Total,142823,650,882,97,77042,2445,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Country/Territory/Area,"Confirmed* 
cases (new)",Likely place of exposure†,,,"Total cases with site of 
transmission under 
investigation (new)","Total 
deaths 
(new)",,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
,,"China 
(new)","Outside 
reporting 
country and 
outside 
China (new)","In 
reporting 
country 
(new)",,,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Western Pacific Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Republic of Korea,602 (256),13 (0),4 (0),353 (65),232 (191),5 (3),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Japan,132 (27),28 (0),5 (0),92 (24),7 (3),1 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Singapore,89 (3),24 (1),0 (0),58 (2),7 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Australia,22 (1),12 (0),7 (1),3 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Malaysia,22 (0),17 (0),1 (0),2 (0),2 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Viet Nam,16 (0),8 (0),0 (0),8 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Philippines,3 (0),3 (0),0 (0),0 (0),0 (0),1 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
South-East Asia Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Thailand,35 (0),23 (0),0 (0),5 (0),7 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
India,3 (0),3 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Nepal,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Sri Lanka,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Region of the Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
