0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,date,sitrep
"Province/  
Region/  
City","Population 
(10,000s)",Daily,,,Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Hubei,5917,409,403,26,65596,2641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Guangdong,11346,0,0,0,1347,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Henan,9605,1,2,1,1272,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Zhejiang,5737,0,0,0,1205,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Hunan,6899,1,0,0,1017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Anhui,6324,0,0,0,989,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Jiangxi,4648,0,0,0,934,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Shandong,10047,0,0,0,756,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Jiangsu,8051,0,0,0,631,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Chongqing,3102,0,11,0,576,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Sichuan,8341,3,4,0,534,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Heilongjiang,3773,0,0,1,480,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Beijing,2154,10,10,1,410,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Shanghai,2424,1,33,0,337,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Hebei,7556,5,0,0,317,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Fujian,3941,2,0,0,296,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Guangxi,4926,0,0,0,252,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
