0,1,2,3,4,5,6,7,8,9,date,sitrep
"Province/  
Region/  
City","Population 
(10,000s)",In last 24 hours,,,Cumulative,,,,,20200306,46
,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths,,,,20200306,46
Hubei,5917,126,43,29,67592,2931,,,,20200306,46
Guangdong,11346,1,0,0,1351,7,,,,20200306,46
Henan,9605,0,0,0,1272,22,,,,20200306,46
Zhejiang,5737,0,1,0,1215,1,,,,20200306,46
Hunan,6899,0,0,0,1018,4,,,,20200306,46
Anhui,6324,0,0,0,990,6,,,,20200306,46
Jiangxi,4648,0,0,0,935,1,,,,20200306,46
Shandong,10047,0,0,0,758,6,,,,20200306,46
Jiangsu,8051,0,0,0,631,0,,,,20200306,46
Chongqing,3102,0,2,0,576,6,,,,20200306,46
Sichuan,8341,0,2,0,539,3,,,,20200306,46
Heilongjiang,3773,0,0,0,481,13,,,,20200306,46
Beijing,2154,4,3,0,422,8,,,,20200306,46
Shanghai,2424,1,22,0,339,3,,,,20200306,46
Hebei,7556,0,0,0,318,6,,,,20200306,46
Fujian,3941,0,0,0,296,1,,,,20200306,46
Guangxi,4926,0,0,0,252,2,,,,20200306,46
Shaanxi,3864,0,0,0,245,1,,,,20200306,46
Yunnan,4830,0,2,0,174,2,,,,20200306,46
Hainan,934,0,0,1,168,6,,,,20200306,46
Guizhou,3600,0,2,0,146,2,,,,20200306,46
Tianjin,1560,0,9,0,136,3,,,,20200306,46
Shanxi,3718,0,0,0,133,0,,,,20200306,46
Liaoning,4359,0,13,0,125,1,,,,20200306,46
Hong Kong SAR,745,0,0,0,104,2,,,,20200306,46
Gansu,2637,11,0,0,102,2,,,,20200306,46
Jilin,2704,0,3,0,93,1,,,,20200306,46
Xinjiang,2487,0,0,0,76,3,,,,20200306,46
Inner Mongolia,2534,0,0,0,75,1,,,,20200306,46
Ningxia,688,0,0,0,75,0,,,,20200306,46
Taipei and environs,2359,3,0,0,45,1,,,,20200306,46
Qinghai,603,0,0,0,18,0,,,,20200306,46
Macao SAR,66,0,0,0,10,0,,,,20200306,46
Xizang,344,0,0,0,1,0,,,,20200306,46
Total,142823,146,102,30,80711,3045,,,,20200306,46
"Total 
Total 
Total 
Days since 
Reporting Country/ 
Total 
Transmission 
confirmed‡ 
confirmed 
new 
last reported 
Territory/Area† 
deaths 
classification§ 
cases 
new cases 
deaths 
case",,,,,,,,,,20200306,46
Western Pacific Region,,,,,,,,,,20200306,46
Republic of Korea,6284,518,42,7,Local transmission,0,,,,20200306,46
Japan,349,32,6,0,Local transmission,0,,,,20200306,46
Singapore,117,7,0,0,Local transmission,0,,,,20200306,46
Australia,57,0,2,0,Local transmission,1,,,,20200306,46
Malaysia,55,5,0,0,Local transmission,0,,,,20200306,46
Viet Nam,16,0,0,0,Local transmission,22,,,,20200306,46
Philippines,5,2,1,0,Local transmission,0,,,,20200306,46
New Zealand,4,2,0,0,Local transmission,0,,,,20200306,46
Cambodia,1,0,0,0,Imported cases only,38,,,,20200306,46
European Region,,,,,,,,,,20200306,46
Italy,3858,769,148,41,Local transmission,0,,,,20200306,46
Germany,534,272,0,0,Local transmission,0,,,,20200306,46
France,420,138,6,2,Local transmission,0,,,,20200306,46
Spain,257,59,3,2,Local transmission,0,,,,20200306,46
The United Kingdom,118,29,0,0,Local transmission,0,,,,20200306,46
Norway,86,30,0,0,Local transmission,0,,,,20200306,46
Switzerland,86,30,1,1,Local transmission,0,,,,20200306,46
Netherlands,82,44,0,0,Local transmission,0,,,,20200306,46
Sweden,61,26,0,0,Local transmission,0,,,,20200306,46
Belgium,50,27,0,0,Local transmission,1,,,,20200306,46
Austria,47,10,0,0,Imported cases only,0,,,,20200306,46
Greece,32,23,0,0,Local transmission,1,,,,20200306,46
Iceland,26,0,0,0,Imported cases only,1,,,,20200306,46
San Marino,21,5,0,0,Local transmission,0,,,,20200306,46
Denmark,18,8,0,0,Local transmission,1,,,,20200306,46
Israel,15,0,0,0,Local transmission,1,,,,20200306,46
Ireland,14,12,0,0,Local transmission,0,,,,20200306,46
Czechia,12,7,0,0,Local transmission,0,,,,20200306,46
Finland,12,5,0,0,Local transmission,0,,,,20200306,46
Croatia,10,1,0,0,Local transmission,0,,,,20200306,46
Georgia,9,6,0,0,Imported cases only,0,,,,20200306,46
Portugal,9,0,0,0,Local transmission,1,,,,20200306,46
Belarus,6,0,0,0,Local transmission,1,,,,20200306,46
Romania,6,2,0,0,Local transmission,0,,,,20200306,46
