0,1,2,3,4,5,6,7,8,9,10,date,sitrep
"Total 
Total 
Total 
Days since last 
Reporting Country/ 
Total 
Transmission 
confirmed
confirmed 
new 
reported case 
Territory/Area† 
deaths 
classification§ 
‡ cases 
new cases1 
deaths1",,,,,,,,,,,20200316,56
Western Pacific Region,,,,,,,,,,,20200316,56
China,81077,29,3218,14,Local Transmission,0,,,,,20200316,56
Republic of Korea,8236,74,75,0,Local transmission,0,,,,,20200316,56
Japan,814,34,24,2,Local transmission,0,,,,,20200316,56
Malaysia,553,315,0,0,Local transmission,0,,,,,20200316,56
Australia,298,0,5,0,Local transmission,1,,,,,20200316,56
Singapore,243,31,0,0,Local transmission,0,,,,,20200316,56
Philippines,140,0,12,0,Local transmission,1,,,,,20200316,56
Viet Nam,57,4,0,0,Local transmission,0,,,,,20200316,56
Brunei Darussalam,50,10,0,0,Local transmission,0,,,,,20200316,56
Cambodia,12,0,0,0,Local transmission,1,,,,,20200316,56
New Zealand,6,0,0,0,Local transmission,2,,,,,20200316,56
Mongolia,1,0,0,0,Imported cases only,6,,,,,20200316,56
Territories**,,,,,,,,,,,20200316,56
"French Polynesia 
3 
0 
0 
0 
Imported cases only 
1",,,,,,,,,,,20200316,56
European Region,,,,,,,,,,,20200316,56
Italy,24747,3590,1809,368,Local transmission,0,,,,,20200316,56
Spain,7753,2000,288,152,Local transmission,0,,,,,20200316,56
France,5380,911,127,36,Local transmission,0,,,,,20200316,56
Germany,4838,1043,12,4,Local transmission,0,,,,,20200316,56
Switzerland,2200,841,13,2,Local transmission,0,,,,,20200316,56
The United Kingdom,1395,251,35,14,Local transmission,0,,,,,20200316,56
Netherlands,1135,176,20,8,Local transmission,0,,,,,20200316,56
Belgium,1085,396,5,5,Local transmission,0,,,,,20200316,56
Norway,1077,170,1,0,Local transmission,0,,,,,20200316,56
Sweden,992,68,3,3,Local transmission,0,,,,,20200316,56
Austria,959,159,1,0,Local transmission,0,,,,,20200316,56
Denmark,898,71,1,1,Local transmission,0,,,,,20200316,56
Greece,331,103,4,2,Local transmission,0,,,,,20200316,56
Czechia,298,84,0,0,Local transmission,0,,,,,20200316,56
Finland,267,57,0,0,Local transmission,0,,,,,20200316,56
Portugal,245,133,0,0,Local transmission,0,,,,,20200316,56
Slovenia,219,78,0,0,Local transmission,0,,,,,20200316,56
Estonia,205,126,0,0,Local transmission,0,,,,,20200316,56
Israel,200,22,0,0,Local transmission,0,,,,,20200316,56
Ireland,169,40,2,0,Local transmission,0,,,,,20200316,56
Romania,158,35,0,0,Local transmission,0,,,,,20200316,56
Poland,150,39,3,0,Local transmission,0,,,,,20200316,56
Iceland,138,0,0,0,Local transmission,1,,,,,20200316,56
San Marino,92,0,5,0,Local transmission,1,,,,,20200316,56
Russian Federation,63,29,0,0,Imported cases only,0,,,,,20200316,56
Slovakia,61,17,0,0,Local transmission,0,,,,,20200316,56
Bulgaria,51,8,2,0,Local transmission,0,,,,,20200316,56
Croatia,49,12,0,0,Local transmission,0,,,,,20200316,56
Albania,42,4,1,0,Local transmission,0,,,,,20200316,56
Serbia††,46,0,0,0,Local transmission,1,,,,,20200316,56
Hungary,39,7,1,1,Local transmission,0,,,,,20200316,56
Luxembourg,38,0,1,0,Local transmission,2,,,,,20200316,56
Belarus,36,15,0,0,Local transmission,0,,,,,20200316,56
Cyprus,33,12,0,0,Imported cases only,0,,,,,20200316,56
Georgia,33,3,0,0,Imported cases only,0,,,,,20200316,56
Latvia,31,1,0,0,Imported cases only,0,,,,,20200316,56
Armenia,26,18,0,0,Local transmission,0,,,,,20200316,56
Republic of Moldova,23,11,0,0,Imported cases only,0,,,,,20200316,56
Malta,21,9,0,0,Imported cases only,0,,,,,20200316,56
Azerbaijan,19,0,0,0,Imported cases only,1,,,,,20200316,56
"Bosnia and 
Herzegovina",18,0,0,0,Local transmission,1,,,,,20200316,56
Lithuania,14,5,0,0,Imported cases only,0,,,,,20200316,56
North Macedonia,13,0,0,0,Local transmission,1,,,,,20200316,56
Monaco,9,7,0,0,Under investigation,0,,,,,20200316,56
Liechtenstein,7,3,0,0,Imported cases only,0,,,,,20200316,56
Kazakhstan,6,0,0,0,Imported cases only,1,,,,,20200316,56
Turkey,5,0,0,0,Imported cases only,2,,,,,20200316,56
Uzbekistan,4,4,0,0,Under investigation,0,,,,,20200316,56
Ukraine,3,0,1,0,Local transmission,2,,,,,20200316,56
Andorra,2,0,0,0,Imported cases only,2,,,,,20200316,56
Holy See,1,0,0,0,Under investigation,10,,,,,20200316,56
Territories**,,,,,,,,,,,20200316,56
Faroe Islands,11,2,0,0,Imported cases only,0,,,,,20200316,56
Jersey,2,0,0,0,Imported cases only,3,,,,,20200316,56
Gibraltar,1,0,0,0,Under investigation,12,,,,,20200316,56
Guernsey,1,0,0,0,Imported cases only,6,,,,,20200316,56
South-East Asia Region,,,,,,,,,,,20200316,56
Indonesia,117,0,4,0,Local transmission,1,,,,,20200316,56
India,114,7,2,0,Local transmission,0,,,,,20200316,56
Thailand,114,39,1,0,Local transmission,0,,,,,20200316,56
Sri Lanka,19,8,0,0,Local transmission,0,,,,,20200316,56
Maldives,13,3,0,0,Local transmission,0,,,,,20200316,56
Bangladesh,5,2,0,0,Local transmission,0,,,,,20200316,56
Bhutan,1,0,0,0,Imported cases only,10,,,,,20200316,56
Nepal,1,0,0,0,Imported cases only,52,,,,,20200316,56
Eastern Mediterranean Region,,,,,,,,,,,20200316,56
"Iran (Islamic Republic 
of)",14991,2262,853,245,Local transmission,0,,,,,20200316,56
Qatar,401,64,0,0,Local transmission,0,,,,,20200316,56
Bahrain,221,10,1,1,Local transmission,0,,,,,20200316,56
Egypt,126,33,2,0,Local transmission,0,,,,,20200316,56
Iraq,124,31,9,0,Local transmission,0,,,,,20200316,56
Kuwait,112,0,0,0,Local transmission,1,,,,,20200316,56
Saudi Arabia,103,0,0,0,Local transmission,1,,,,,20200316,56
Lebanon,99,6,3,0,Local transmission,0,,,,,20200316,56
United Arab Emirates,98,13,0,0,Local transmission,0,,,,,20200316,56
Pakistan,52,24,0,0,Imported cases only,0,,,,,20200316,56
Morocco,28,10,1,0,Local transmission,0,,,,,20200316,56
Oman,22,2,0,0,Imported cases only,0,,,,,20200316,56
Tunisia,18,2,0,0,Local transmission,0,,,,,20200316,56
Afghanistan,16,6,0,0,Imported cases only,0,,,,,20200316,56
Jordan,6,5,0,0,Imported cases only,0,,,,,20200316,56
Sudan,1,0,1,1,Imported cases only,1,,,,,20200316,56
Territories**,,,,,,,,,,,20200316,56
"occupied Palestinian 
38 
0 
0 
0 
Local transmission 
2 
territory",,,,,,,,,,,20200316,56
Region of the Americas,,,,,,,,,,,20200316,56
"United States of 
America",1678,0,41,0,Local transmission,2,,,,,20200316,56
Canada,304,60,1,0,Local transmission,0,,,,,20200316,56
Brazil,200,79,0,0,Local transmission,0,,,,,20200316,56
Chile,75,14,0,0,Local transmission,0,,,,,20200316,56
Peru,71,28,0,0,Local transmission,0,,,,,20200316,56
Argentina,56,11,2,0,Local transmission,0,,,,,20200316,56
Mexico,53,12,0,0,Imported cases only,0,,,,,20200316,56
Panama,43,16,1,0,Local transmission,0,,,,,20200316,56
Ecuador,37,14,2,2,Local transmission,0,,,,,20200316,56
Colombia,24,0,0,0,Local transmission,1,,,,,20200316,56
Costa Rica,23,0,0,0,Local transmission,2,,,,,20200316,56
"Bolivia (Plurinational 
State of)",11,8,0,0,Imported cases only,0,,,,,20200316,56
Jamaica,10,2,0,0,Local transmission,0,,,,,20200316,56
Paraguay,8,2,0,0,Local transmission,0,,,,,20200316,56
Dominican Republic,5,0,0,0,Imported cases only,6,,,,,20200316,56
Cuba,4,0,0,0,Imported cases only,2,,,,,20200316,56
Guyana,4,3,1,0,Local transmission,0,,,,,20200316,56
Uruguay,4,4,0,0,Imported cases only,0,,,,,20200316,56
Honduras,2,0,0,0,Imported cases only,4,,,,,20200316,56
Trinidad and Tobago,2,1,0,0,Imported cases only,0,,,,,20200316,56
"Venezuela (Bolivarian 
Republic of)",2,0,0,0,Imported cases only,2,,,,,20200316,56
Antigua and Barbuda,1,0,0,0,Imported cases only,2,,,,,20200316,56
Guatemala,1,0,1,0,Imported cases only,1,,,,,20200316,56
Saint Lucia,1,0,0,0,Imported cases only,1,,,,,20200316,56
"Saint Vincent and the 
Grenadines",1,0,0,0,Imported cases only,3,,,,,20200316,56
