0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,sitrep
"Total 
Total 
Total 
Days since last 
Reporting Country/ 
Total 
Transmission 
confirmed
confirmed 
new 
reported case 
Territory/Area† 
deaths 
classification§ 
‡ cases 
new cases1 
deaths1",,,,,,,,,,,,,,,,,,,,,,,20200317,57
Western Pacific Region,,,,,,,,,,,,,,,,,,,,,,,20200317,57
China,81116,39,3231,13,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Republic of Korea,8320,84,81,6,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Japan,829,15,28,4,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Malaysia,553,0,0,0,Local transmission,1,,,,,,,,,,,,,,,,,20200317,57
Australia,375,77,5,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Singapore,243,0,0,0,Local transmission,1,,,,,,,,,,,,,,,,,20200317,57
Philippines,187,47,12,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Viet Nam,61,4,0,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Brunei Darussalam,50,0,0,0,Local transmission,1,,,,,,,,,,,,,,,,,20200317,57
Cambodia,24,12,0,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
New Zealand,11,5,0,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Mongolia,4,3,0,0,Imported cases only,0,,,,,,,,,,,,,,,,,20200317,57
Territories**,,,,,,,,,,,,,,,,,,,,,,,20200317,57
"French Polynesia 
3 
0 
0 
0 
Imported cases only 
2",,,,,,,,,,,,,,,,,,,,,,,20200317,57
"Guam 
3 
3 
0 
0 
Local transmission 
0",,,,,,,,,,,,,,,,,,,,,,,20200317,57
European Region,,,,,,,,,,,,,,,,,,,,,,,20200317,57
Italy,27980,3233,2503,349,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Spain,9191,1438,309,21,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
France,6573,1193,148,21,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Germany,6012,1174,13,1,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Switzerland,2200,0,14,1,Local transmission,1,,,,,,,,,,,,,,,,,20200317,57
The United Kingdom,1547,152,55,20,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Netherlands,1413,278,24,4,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Norway,1169,92,3,2,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Austria,1132,173,3,2,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Belgium,1085,0,5,0,Local transmission,1,,,,,,,,,,,,,,,,,20200317,57
Sweden,1059,67,3,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
