0,1,2,3,4,5,6,7,8,9,10,11,date,sitrep
"Total 
Total 
Total 
Days since last 
Reporting Country/ 
Total 
Transmission 
confirmed
confirmed 
new 
reported case 
Territory/Area† 
deaths 
classification§ 
‡ cases 
new cases 
deaths",,,,,,,,,,,,20200321,61
Western Pacific Region,,,,,,,,,,,,20200321,61
China,81416,116,3261,8,Local transmission,0,,,,,,20200321,61
Republic of Korea,8799,147,102,8,Local transmission,0,,,,,,20200321,61
Malaysia,1030,130,3,1,Local transmission,0,,,,,,20200321,61
Japan,996,46,35,2,Local transmission,0,,,,,,20200321,61
Australia,873,164,7,1,Local transmission,0,,,,,,20200321,61
Singapore,385,40,0,0,Local transmission,0,,,,,,20200321,61
Philippines,230,13,18,1,Local transmission,0,,,,,,20200321,61
Viet Nam,91,6,0,0,Local transmission,0,,,,,,20200321,61
Brunei Darussalam,78,5,0,0,Local transmission,0,,,,,,20200321,61
New Zealand,53,14,0,0,Local transmission,0,,,,,,20200321,61
Cambodia,51,4,0,0,Local transmission,0,,,,,,20200321,61
Mongolia,6,0,0,0,Imported cases only,1,,,,,,20200321,61
Fiji,1,0,0,0,Imported cases only,1,,,,,,20200321,61
Papua New Guinea,1,1,0,0,Imported cases only,0,,,,,,20200321,61
Territories**,,,,,,,,,,,,20200321,61
"Guam 
14 
2 
0 
0 
Local transmission 
0",,,,,,,,,,,,20200321,61
"French Polynesia 
11 
0 
0 
0 
Imported cases only 
1",,,,,,,,,,,,20200321,61
"New Caledonia 
2 
0 
0 
0 
Imported cases only 
1",,,,,,,,,,,,20200321,61
European Region ^,,,,,,,,,,,,20200321,61
Italy,47021,5986,4032,625,Local transmission,0,,,,,,20200321,61
Spain,19980,2833,1002,235,Local transmission,0,,,,,,20200321,61
Germany,18323,7324,45,25,Local transmission,0,,,,,,20200321,61
France,12475,1598,450,78,Local transmission,0,,,,,,20200321,61
Switzerland,4840,977,43,10,Local transmission,0,,,,,,20200321,61
The United Kingdom,3983,706,177,33,Local transmission,0,,,,,,20200321,61
Netherlands,2994,534,106,30,Local transmission,0,,,,,,20200321,61
Austria,2649,806,6,1,Local transmission,0,,,,,,20200321,61
Belgium,2257,462,37,23,Local transmission,0,,,,,,20200321,61
Norway,1742,190,7,1,Local transmission,0,,,,,,20200321,61
Sweden,1623,200,16,13,Local transmission,0,,,,,,20200321,61
Denmark,1255,123,9,3,Local transmission,0,,,,,,20200321,61
Portugal,1020,235,6,3,Local transmission,0,,,,,,20200321,61
Czechia,904,210,0,0,Local transmission,0,,,,,,20200321,61
Israel,712,183,1,1,Local transmission,0,,,,,,20200321,61
Ireland,683,126,3,0,Local transmission,0,,,,,,20200321,61
Turkey,670,479,9,7,Local transmission,0,,,,,,20200321,61
Greece,495,77,8,3,Local transmission,0,,,,,,20200321,61
Luxembourg,484,139,5,1,Local transmission,0,,,,,,20200321,61
Finland,450,81,0,0,Local transmission,0,,,,,,20200321,61
Poland,425,100,5,0,Local transmission,0,,,,,,20200321,61
Iceland,409,79,1,1,Local transmission,0,,,,,,20200321,61
Slovenia,341,22,1,0,Local transmission,0,,,,,,20200321,61
Romania,308,48,0,0,Local transmission,0,,,,,,20200321,61
Estonia,283,16,0,0,Local transmission,0,,,,,,20200321,61
Russian Federation,253,54,0,0,Imported cases only,0,,,,,,20200321,61
San Marino,151,25,14,0,Local transmission,0,,,,,,20200321,61
Slovakia,137,14,0,0,Local transmission,0,,,,,,20200321,61
Armenia,136,14,0,0,Local transmission,0,,,,,,20200321,61
Serbia††,135,12,1,1,Local transmission,0,,,,,,20200321,61
Bulgaria,127,33,3,0,Local transmission,0,,,,,,20200321,61
Croatia,126,45,0,0,Local transmission,0,,,,,,20200321,61
Latvia,111,25,0,0,Imported cases only,0,,,,,,20200321,61
Hungary,85,12,4,3,Local transmission,0,,,,,,20200321,61
Andorra,75,0,0,0,Imported cases only,1,,,,,,20200321,61
Albania,70,0,2,0,Local transmission,1,,,,,,20200321,61
North Macedonia,70,22,0,0,Local transmission,0,,,,,,20200321,61
Lithuania,69,33,1,1,Imported cases only,0,,,,,,20200321,61
Cyprus,67,9,0,0,Local transmission,0,,,,,,20200321,61
Republic of Moldova,66,17,1,1,Local transmission,0,,,,,,20200321,61
Malta,64,11,0,0,Imported cases only,0,,,,,,20200321,61
Belarus,57,11,0,0,Local transmission,0,,,,,,20200321,61
Kazakhstan,53,7,0,0,Imported cases only,0,,,,,,20200321,61
Azerbaijan,44,10,1,0,Imported cases only,0,,,,,,20200321,61
"Bosnia and 
Herzegovina",44,0,0,0,Local transmission,1,,,,,,20200321,61
Georgia,43,5,0,0,Imported cases only,0,,,,,,20200321,61
Liechtenstein,34,9,0,0,Imported cases only,0,,,,,,20200321,61
Uzbekistan,33,12,0,0,Local transmission,0,,,,,,20200321,61
Ukraine,26,10,3,1,Local transmission,0,,,,,,20200321,61
Montenegro,14,4,0,0,Imported cases only,0,,,,,,20200321,61
Monaco,12,3,0,0,Under investigation,0,,,,,,20200321,61
Kyrgyzstan,6,3,0,0,Imported cases only,0,,,,,,20200321,61
Holy See,1,0,0,0,Under investigation,14,,,,,,20200321,61
Territories**,,,,,,,,,,,,20200321,61
Faroe Islands,80,8,0,0,Imported cases only,0,,,,,,20200321,61
Jersey,12,7,0,0,Imported cases only,0,,,,,,20200321,61
Gibraltar,10,0,0,0,Under investigation,1,,,,,,20200321,61
Greenland,2,0,0,0,Under investigation,2,,,,,,20200321,61
Guernsey,1,0,0,0,Imported cases only,11,,,,,,20200321,61
Isle of Man,1,1,0,0,Imported cases only,0,,,,,,20200321,61
South-East Asia Region,,,,,,,,,,,,20200321,61
Indonesia,369,60,32,7,Local transmission,0,,,,,,20200321,61
Thailand,322,0,1,0,Local transmission,1,,,,,,20200321,61
India,195,0,4,0,Local transmission,1,,,,,,20200321,61
Sri Lanka,59,0,0,0,Local transmission,1,,,,,,20200321,61
Bangladesh,17,0,1,0,Local transmission,1,,,,,,20200321,61
Maldives,13,0,0,0,Local transmission,5,,,,,,20200321,61
Bhutan,2,0,0,0,Imported cases only,1,,,,,,20200321,61
Nepal,1,0,0,0,Imported cases only,57,,,,,,20200321,61
Timor-Leste,1,1,0,0,Imported cases only,0,,,,,,20200321,61
Eastern Mediterranean Region,,,,,,,,,,,,20200321,61
"Iran (Islamic Republic 
of)",19644,1237,1433,149,Local transmission,0,,,,,,20200321,61
Pakistan,461,159,2,0,Imported cases only,0,,,,,,20200321,61
Qatar,460,8,0,0,Local transmission,0,,,,,,20200321,61
Bahrain,285,16,1,0,Local transmission,0,,,,,,20200321,61
Saudi Arabia,274,36,0,0,Local transmission,0,,,,,,20200321,61
Egypt,256,46,7,1,Local transmission,0,,,,,,20200321,61
Iraq,193,16,14,2,Local transmission,0,,,,,,20200321,61
Lebanon,163,14,4,0,Local transmission,0,,,,,,20200321,61
Kuwait,159,11,0,0,Local transmission,0,,,,,,20200321,61
United Arab Emirates,140,0,0,0,Local transmission,1,,,,,,20200321,61
Morocco,74,13,3,1,Local transmission,0,,,,,,20200321,61
Jordan,69,13,0,0,Imported cases only,0,,,,,,20200321,61
Tunisia,54,15,1,1,Local transmission,0,,,,,,20200321,61
Oman,48,9,0,0,Local transmission,0,,,,,,20200321,61
Afghanistan,24,2,0,0,Imported cases only,0,,,,,,20200321,61
Djibouti,1,0,0,0,Under investigation,2,,,,,,20200321,61
Somalia,1,0,0,0,Imported cases only,4,,,,,,20200321,61
Sudan,1,0,1,0,Imported cases only,6,,,,,,20200321,61
Territories**,,,,,,,,,,,,20200321,61
