0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,date,sitrep
"Total 
Total 
Total 
Days since last 
Reporting Country/ 
confirm
confirmed 
Total 
new 
Transmission 
reported case 
Territory/Area† 
ed‡ 
new cases 
deaths 
deaths 
classification§ 
cases",,,,,,,,,,,,,,,,,20200329,69
Western Pacific Region,,,,,,,,,,,,,,,,,20200329,69
China,82341,128,3306,5,Local transmission,0,,,,,,,,,,,20200329,69
Republic of Korea,9583,105,152,8,Local transmission,0,,,,,,,,,,,20200329,69
Australia,3966,331,16,2,Local transmission,0,,,,,,,,,,,20200329,69
Malaysia,2320,159,27,1,Local transmission,0,,,,,,,,,,,20200329,69
Japan,1693,194,52,3,Local transmission,0,,,,,,,,,,,20200329,69
Philippines,1075,272,68,14,Local transmission,0,,,,,,,,,,,20200329,69
Singapore,802,70,2,0,Local transmission,0,,,,,,,,,,,20200329,69
New Zealand,476,60,1,1,Local transmission,0,,,,,,,,,,,20200329,69
Viet Nam,179,10,0,0,Local transmission,0,,,,,,,,,,,20200329,69
Brunei Darussalam,120,5,1,0,Local transmission,0,,,,,,,,,,,20200329,69
Cambodia,102,0,0,0,Local transmission,1,,,,,,,,,,,20200329,69
Mongolia,12,0,0,0,Imported cases only,1,,,,,,,,,,,20200329,69
"Lao People's 
Democratic Republic",6,0,0,0,Local transmission,2,,,,,,,,,,,20200329,69
Fiji,5,0,0,0,Local transmission,3,,,,,,,,,,,20200329,69
Papua New Guinea,1,0,0,0,Imported cases only,8,,,,,,,,,,,20200329,69
Territories**,,,,,,,,,,,,,,,,,20200329,69
Guam,56,5,1,0,Local transmission,0,,,,,,,,,,,20200329,69
French Polynesia,34,4,0,0,Local transmission,0,,,,,,,,,,,20200329,69
New Caledonia,15,0,0,0,Local transmission,1,,,,,,,,,,,20200329,69
"Northern Mariana 
Islands 
(Commonwealth of 
the)",2,2,0,0,Under investigation,0,,,,,,,,,,,20200329,69
European Region,,,,,,,,,,,,,,,,,20200329,69
Italy,92472,5974,10023,887,Local transmission,0,,,,,,,,,,,20200329,69
Spain,72248,8189,5690,832,Local transmission,0,,,,,,,,,,,20200329,69
Germany,52547,3965,389,64,Local transmission,0,,,,,,,,,,,20200329,69
France,37145,4603,2311,319,Local transmission,0,,,,,,,,,,,20200329,69
The United Kingdom,17093,2546,1019,260,Local transmission,0,,,,,,,,,,,20200329,69
Switzerland,13152,1048,235,38,Local transmission,0,,,,,,,,,,,20200329,69
Netherlands,9762,1159,639,93,Local transmission,0,,,,,,,,,,,20200329,69
Belgium,9134,1850,353,64,Local transmission,0,,,,,,,,,,,20200329,69
Austria,8291,594,68,0,Local transmission,0,,,,,,,,,,,20200329,69
Turkey,7402,1704,108,16,Local transmission,0,,,,,,,,,,,20200329,69
Portugal,5170,902,100,24,Local transmission,0,,,,,,,,,,,20200329,69
Israel,3865,405,15,3,Local transmission,0,,,,,,,,,,,20200329,69
Norway,3845,264,20,4,Local transmission,0,,,,,,,,,,,20200329,69
Sweden,3447,401,102,10,Local transmission,0,,,,,,,,,,,20200329,69
Czechia,2663,384,11,2,Local transmission,0,,,,,,,,,,,20200329,69
Ireland,2415,294,36,14,Local transmission,0,,,,,,,,,,,20200329,69
Denmark,2201,155,65,13,Local transmission,0,,,,,,,,,,,20200329,69
Luxembourg,1831,226,18,3,Local transmission,0,,,,,,,,,,,20200329,69
Poland,1638,249,18,2,Local transmission,0,,,,,,,,,,,20200329,69
Russian Federation,1534,270,8,4,Local transmission,0,,,,,,,,,,,20200329,69
