0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,date,sitrep
"Reporting Country/ 
Territory/Area†",,"Total 
confirmed 
new cases","Total 
deaths","Total 
new 
deaths","Transmission 
classification§","Days since last 
reported case",,,,,,,,,,,,20200330,70
Western Pacific Region,,,,,,,,,,,,,,,,,,20200330,70
China,82447,106,3310,4,Local transmission,0,,,,,,,,,,,,20200330,70
Republic of Korea,9661,78,158,6,Local transmission,0,,,,,,,,,,,,20200330,70
Australia,3966,0,16,0,Local transmission,1,,,,,,,,,,,,20200330,70
Malaysia,2470,150,34,7,Local transmission,0,,,,,,,,,,,,20200330,70
Japan,1866,173,54,2,Local transmission,0,,,,,,,,,,,,20200330,70
Philippines,1418,343,71,3,Local transmission,0,,,,,,,,,,,,20200330,70
Singapore,844,42,3,1,Local transmission,0,,,,,,,,,,,,20200330,70
New Zealand,552,76,1,0,Local transmission,0,,,,,,,,,,,,20200330,70
Viet Nam,188,9,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Brunei Darussalam,126,6,1,0,Local transmission,0,,,,,,,,,,,,20200330,70
Cambodia,103,1,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Mongolia,12,0,0,0,Imported cases only,2,,,,,,,,,,,,20200330,70
"Lao People's 
Democratic Republic",8,2,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Fiji,5,0,0,0,Local transmission,4,,,,,,,,,,,,20200330,70
Papua New Guinea,1,0,0,0,Imported cases only,9,,,,,,,,,,,,20200330,70
Territories**,,,,,,,,,,,,,,,,,,20200330,70
Guam,56,0,1,0,Local transmission,1,,,,,,,,,,,,20200330,70
French Polynesia,35,1,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
New Caledonia,15,0,0,0,Local transmission,2,,,,,,,,,,,,20200330,70
"Northern Mariana 
Islands 
(Commonwealth of 
the)",2,0,0,0,Under investigation,1,,,,,,,,,,,,20200330,70
European Region,,,,,,,,,,,,,,,,,,20200330,70
Italy,97689,5217,10781,758,Local transmission,0,,,,,,,,,,,,20200330,70
Spain,78797,6549,6528,838,Local transmission,0,,,,,,,,,,,,20200330,70
Germany,57298,4751,455,66,Local transmission,0,,,,,,,,,,,,20200330,70
France,39642,2497,2602,291,Local transmission,0,,,,,,,,,,,,20200330,70
The United Kingdom,19526,2433,1228,209,Local transmission,0,,,,,,,,,,,,20200330,70
Switzerland,14274,1122,257,22,Local transmission,0,,,,,,,,,,,,20200330,70
Netherlands,10866,1104,771,132,Local transmission,0,,,,,,,,,,,,20200330,70
Belgium,10836,1702,431,78,Local transmission,0,,,,,,,,,,,,20200330,70
Turkey,9271,1869,131,23,Local transmission,0,,,,,,,,,,,,20200330,70
Austria,8813,522,86,18,Local transmission,0,,,,,,,,,,,,20200330,70
Portugal,5962,792,119,19,Local transmission,0,,,,,,,,,,,,20200330,70
Israel,4247,382,15,0,Local transmission,0,,,,,,,,,,,,20200330,70
Norway,4102,257,22,2,Local transmission,0,,,,,,,,,,,,20200330,70
Sweden,3700,253,110,8,Local transmission,0,,,,,,,,,,,,20200330,70
Czechia,2829,166,16,5,Local transmission,0,,,,,,,,,,,,20200330,70
Ireland,2615,200,46,10,Local transmission,0,,,,,,,,,,,,20200330,70
Denmark,2395,194,72,7,Local transmission,0,,,,,,,,,,,,20200330,70
Luxembourg,1950,119,21,3,Local transmission,0,,,,,,,,,,,,20200330,70
Poland,1862,224,22,4,Local transmission,0,,,,,,,,,,,,20200330,70
Romania,1760,308,40,11,Local transmission,0,,,,,,,,,,,,20200330,70
Russian Federation,1534,0,10,2,Local transmission,1,,,,,,,,,,,,20200330,70
Finland,1218,0,11,2,Local transmission,1,,,,,,,,,,,,20200330,70
Greece,1156,95,38,6,Local transmission,0,,,,,,,,,,,,20200330,70
Iceland,1020,57,2,0,Local transmission,0,,,,,,,,,,,,20200330,70
Serbia,741,82,13,3,Local transmission,0,,,,,,,,,,,,20200330,70
Slovenia,730,39,11,2,Local transmission,0,,,,,,,,,,,,20200330,70
Croatia,713,56,6,1,Local transmission,0,,,,,,,,,,,,20200330,70
Estonia,679,39,3,2,Local transmission,0,,,,,,,,,,,,20200330,70
Lithuania,484,90,7,0,Local transmission,0,,,,,,,,,,,,20200330,70
Armenia,482,58,3,0,Local transmission,0,,,,,,,,,,,,20200330,70
Ukraine,480,62,11,2,Local transmission,0,,,,,,,,,,,,20200330,70
Hungary,447,39,15,2,Local transmission,0,,,,,,,,,,,,20200330,70
Latvia,376,71,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Bulgaria,346,15,8,1,Local transmission,0,,,,,,,,,,,,20200330,70
Andorra,341,20,6,2,Local transmission,0,,,,,,,,,,,,20200330,70
Slovakia,336,41,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
"Bosnia and 
Herzegovina",325,56,6,0,Local transmission,0,,,,,,,,,,,,20200330,70
Kazakhstan,294,29,1,0,Under investigation,0,,,,,,,,,,,,20200330,70
Republic of Moldova,263,32,2,0,Local transmission,0,,,,,,,,,,,,20200330,70
