0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,date,sitrep
"Reporting Country/ 
Territory/Area†",,"Total 
confirmed 
new cases","Total 
deaths","Total 
new 
deaths","Transmission 
classification§","Days since last 
reported case",,,,,,,,,20200401,72
Western Pacific Region,,,,,,,,,,,,,,,20200401,72
China,82631,86,3321,7,Local transmission,0,,,,,,,,,20200401,72
Republic of Korea,9887,101,165,3,Local transmission,0,,,,,,,,,20200401,72
Australia,4707,348,20,2,Local transmission,0,,,,,,,,,20200401,72
Malaysia,2766,140,43,6,Local transmission,0,,,,,,,,,20200401,72
Japan,2178,225,57,1,Local transmission,0,,,,,,,,,20200401,72
Philippines,2084,538,88,10,Local transmission,0,,,,,,,,,20200401,72
Singapore,926,47,3,0,Local transmission,0,,,,,,,,,20200401,72
New Zealand,647,47,1,0,Local transmission,0,,,,,,,,,20200401,72
Viet Nam,207,4,0,0,Local transmission,0,,,,,,,,,20200401,72
Brunei Darussalam,129,2,1,0,Local transmission,0,,,,,,,,,20200401,72
Cambodia,109,2,0,0,Local transmission,0,,,,,,,,,20200401,72
Mongolia,12,0,0,0,Imported cases only,4,,,,,,,,,20200401,72
"Lao People's 
Democratic Republic",9,1,0,0,Local transmission,0,,,,,,,,,20200401,72
Fiji,5,0,0,0,Local transmission,6,,,,,,,,,20200401,72
Papua New Guinea,1,0,0,0,Imported cases only,11,,,,,,,,,20200401,72
Territories**,,,,,,,,,,,,,,,20200401,72
Guam,69,11,2,1,Local transmission,0,,,,,,,,,20200401,72
French Polynesia,37,1,0,0,Local transmission,0,,,,,,,,,20200401,72
New Caledonia,16,1,0,0,Local transmission,0,,,,,,,,,20200401,72
"Northern Mariana 
Islands 
(Commonwealth of 
the)",2,0,0,0,Under investigation,3,,,,,,,,,20200401,72
European Region,,,,,,,,,,,,,,,20200401,72
Italy,105792,4053,12430,839,Local transmission,0,,,,,,,,,20200401,72
Spain,94417,9222,8189,849,Local transmission,0,,,,,,,,,20200401,72
Germany,67366,5453,732,149,Local transmission,0,,,,,,,,,20200401,72
France,51477,7500,3514,497,Local transmission,0,,,,,,,,,20200401,72
The United Kingdom,25154,3009,1789,381,Local transmission,0,,,,,,,,,20200401,72
Switzerland,16108,696,373,78,Local transmission,0,,,,,,,,,20200401,72
Turkey,13531,2704,214,46,Local transmission,0,,,,,,,,,20200401,72
Belgium,12775,876,705,192,Local transmission,0,,,,,,,,,20200401,72
Netherlands,12595,845,1039,175,Local transmission,0,,,,,,,,,20200401,72
Austria,10182,564,128,20,Local transmission,0,,,,,,,,,20200401,72
Portugal,7443,1035,160,20,Local transmission,0,,,,,,,,,20200401,72
Israel,5129,298,21,4,Local transmission,0,,,,,,,,,20200401,72
Norway,4447,221,28,2,Local transmission,0,,,,,,,,,20200401,72
Sweden,4435,407,180,34,Local transmission,0,,,,,,,,,20200401,72
Czechia,3308,306,31,7,Local transmission,0,,,,,,,,,20200401,72
Ireland,3235,325,71,17,Local transmission,0,,,,,,,,,20200401,72
Denmark,2860,283,90,13,Local transmission,0,,,,,,,,,20200401,72
Russian Federation,2337,500,17,8,Local transmission,0,,,,,,,,,20200401,72
Poland,2311,256,33,2,Local transmission,0,,,,,,,,,20200401,72
Romania,2245,293,69,25,Local transmission,0,,,,,,,,,20200401,72
Luxembourg,2178,190,23,1,Local transmission,0,,,,,,,,,20200401,72
Finland,1384,71,17,4,Local transmission,0,,,,,,,,,20200401,72
Greece,1314,102,49,6,Local transmission,0,,,,,,,,,20200401,72
Iceland,1135,49,2,0,Local transmission,0,,,,,,,,,20200401,72
Serbia,900,115,13,0,Local transmission,0,,,,,,,,,20200401,72
Croatia,867,77,6,0,Local transmission,0,,,,,,,,,20200401,72
Slovenia,814,51,13,2,Local transmission,0,,,,,,,,,20200401,72
Estonia,745,30,4,1,Local transmission,0,,,,,,,,,20200401,72
Ukraine,669,120,17,4,Local transmission,0,,,,,,,,,20200401,72
Lithuania,533,49,7,0,Local transmission,0,,,,,,,,,20200401,72
Armenia,532,50,3,0,Local transmission,0,,,,,,,,,20200401,72
Hungary,492,45,16,1,Local transmission,0,,,,,,,,,20200401,72
"Bosnia and 
Herzegovina",413,54,12,3,Local transmission,0,,,,,,,,,20200401,72
Bulgaria,399,40,8,0,Local transmission,0,,,,,,,,,20200401,72
Latvia,398,22,0,0,Local transmission,0,,,,,,,,,20200401,72
Andorra,376,6,12,4,Local transmission,0,,,,,,,,,20200401,72
Slovakia,363,27,0,0,Local transmission,0,,,,,,,,,20200401,72
Republic of Moldova,353,55,3,1,Local transmission,0,,,,,,,,,20200401,72
Kazakhstan,348,36,2,1,Local transmission,0,,,,,,,,,20200401,72
North Macedonia,329,44,9,2,Local transmission,0,,,,,,,,,20200401,72
Azerbaijan,298,25,5,1,Local transmission,0,,,,,,,,,20200401,72
Cyprus,262,32,8,1,Local transmission,0,,,,,,,,,20200401,72
Albania,243,20,13,2,Local transmission,0,,,,,,,,,20200401,72
San Marino,236,6,26,1,Local transmission,0,,,,,,,,,20200401,72
Uzbekistan,173,24,2,0,Local transmission,0,,,,,,,,,20200401,72
Malta,167,11,0,0,Local transmission,0,,,,,,,,,20200401,72
Belarus,152,0,0,0,Local transmission,2,,,,,,,,,20200401,72
Georgia,115,12,0,0,Local transmission,0,,,,,,,,,20200401,72
Kyrgyzstan,111,4,0,0,Local transmission,0,,,,,,,,,20200401,72
Montenegro,105,14,2,1,Local transmission,0,,,,,,,,,20200401,72
Liechtenstein,68,4,0,0,Under investigation,0,,,,,,,,,20200401,72
Monaco,52,3,0,0,Local transmission,0,,,,,,,,,20200401,72
Holy See,6,0,0,0,Under investigation,2,,,,,,,,,20200401,72
Territories**,,,,,,,,,,,,,,,20200401,72
Faroe Islands,169,1,0,0,Local transmission,0,,,,,,,,,20200401,72
Kosovo[1],112,6,1,0,Local transmission,0,,,,,,,,,20200401,72
Gibraltar,69,0,0,0,Local transmission,1,,,,,,,,,20200401,72
Jersey,63,0,2,0,Local transmission,2,,,,,,,,,20200401,72
Guernsey,60,15,1,1,Local transmission,0,,,,,,,,,20200401,72
Isle of Man,52,10,0,0,Local transmission,0,,,,,,,,,20200401,72
Greenland,10,0,0,0,Under investigation,3,,,,,,,,,20200401,72
South-East Asia Region,,,,,,,,,,,,,,,20200401,72
"Thailand 
1771 
247 
12 
3 
Local transmission 
0",,,,,,,,,,,,,,,20200401,72
"India 
1636 
565 
38 
9 
Local transmission 
0",,,,,,,,,,,,,,,20200401,72
Indonesia,1528,114,136,14,Local transmission,0,,,,,,,,,20200401,72
Sri Lanka,143,23,2,1,Local transmission,0,,,,,,,,,20200401,72
Bangladesh,54,5,6,1,Local transmission,0,,,,,,,,,20200401,72
Maldives,18,1,0,0,Local transmission,0,,,,,,,,,20200401,72
Myanmar,15,5,1,1,Local transmission,0,,,,,,,,,20200401,72
Nepal,5,0,0,0,Imported cases only,3,,,,,,,,,20200401,72
Bhutan,4,0,0,0,Imported cases only,2,,,,,,,,,20200401,72
Timor-Leste,1,0,0,0,Under investigation,11,,,,,,,,,20200401,72
Eastern Mediterranean Region,,,,,,,,,,,,,,,20200401,72
"Iran (Islamic Republic 
of)",44606,3111,2898,141,Local transmission,0,,,,,,,,,20200401,72
Pakistan,2039,174,26,1,Local transmission,0,,,,,,,,,20200401,72
Saudi Arabia,1563,110,10,2,Local transmission,0,,,,,,,,,20200401,72
Qatar,781,88,2,1,Local transmission,0,,,,,,,,,20200401,72
Egypt,710,54,46,5,Local transmission,0,,,,,,,,,20200401,72
Iraq,694,64,50,4,Local transmission,0,,,,,,,,,20200401,72
United Arab Emirates,664,53,6,1,Local transmission,0,,,,,,,,,20200401,72
Morocco,638,64,36,3,Local transmission,0,,,,,,,,,20200401,72
Bahrain,567,52,4,0,Local transmission,0,,,,,,,,,20200401,72
Lebanon,463,17,12,1,Local transmission,0,,,,,,,,,20200401,72
Tunisia,394,32,10,1,Local transmission,0,,,,,,,,,20200401,72
Kuwait,289,23,0,0,Local transmission,0,,,,,,,,,20200401,72
Jordan,274,6,5,0,Local transmission,0,,,,,,,,,20200401,72
Oman,210,31,1,1,Local transmission,0,,,,,,,,,20200401,72
Afghanistan,192,26,4,0,Local transmission,0,,,,,,,,,20200401,72
Djibouti,31,5,0,0,Local transmission,0,,,,,,,,,20200401,72
Libya,10,2,0,0,Local transmission,0,,,,,,,,,20200401,72
Syrian Arab Republic,10,0,2,0,Imported cases only,1,,,,,,,,,20200401,72
Sudan,7,1,2,0,Imported cases only,0,,,,,,,,,20200401,72
Somalia,5,2,0,0,Imported cases only,0,,,,,,,,,20200401,72
Territories**,,,,,,,,,,,,,,,20200401,72
"occupied Palestinian 
134 
17 
1 
0 
Local transmission 
0 
territory",,,,,,,,,,,,,,,20200401,72
