0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,date,sitrep
"Reporting Country/ 
Territory/Area†",,"Total 
confirmed 
new cases","Total 
deaths","Total 
new 
deaths","Transmission 
classification§","Days since last 
reported case",,,,,,,,,,20200402,73
Western Pacific Region,,,,,,,,,,,,,,,,20200402,73
China,82724,93,3327,6,Local transmission,0,,,,,,,,,,20200402,73
Republic of Korea,9976,89,169,4,Local transmission,0,,,,,,,,,,20200402,73
Australia,4976,269,21,1,Local transmission,0,,,,,,,,,,20200402,73
Malaysia,2908,142,45,2,Local transmission,0,,,,,,,,,,20200402,73
Japan,2384,206,57,0,Local transmission,0,,,,,,,,,,20200402,73
Philippines,2311,227,96,8,Local transmission,0,,,,,,,,,,20200402,73
Singapore,1000,74,3,0,Local transmission,0,,,,,,,,,,20200402,73
New Zealand,723,76,1,0,Local transmission,0,,,,,,,,,,20200402,73
Viet Nam,218,11,0,0,Local transmission,0,,,,,,,,,,20200402,73
Brunei Darussalam,131,2,1,0,Local transmission,0,,,,,,,,,,20200402,73
Cambodia,109,0,0,0,Local transmission,1,,,,,,,,,,20200402,73
Mongolia,14,2,0,0,Imported cases only,0,,,,,,,,,,20200402,73
"Lao People's 
Democratic Republic",10,1,0,0,Local transmission,0,,,,,,,,,,20200402,73
Fiji,5,0,0,0,Local transmission,7,,,,,,,,,,20200402,73
Papua New Guinea,1,0,0,0,Imported cases only,12,,,,,,,,,,20200402,73
Territories**,,,,,,,,,,,,,,,,20200402,73
Guam,77,8,3,1,Local transmission,0,,,,,,,,,,20200402,73
French Polynesia,37,0,0,0,Local transmission,1,,,,,,,,,,20200402,73
New Caledonia,16,0,0,0,Local transmission,1,,,,,,,,,,20200402,73
"Northern Mariana 
Islands 
(Commonwealth of 
the)",6,4,0,0,Local transmission,0,,,,,,,,,,20200402,73
European Region,,,,,,,,,,,,,,,,20200402,73
Italy,110574,4782,13157,727,Local transmission,0,,,,,,,,,,20200402,73
Spain,102136,7719,9053,864,Local transmission,0,,,,,,,,,,20200402,73
Germany,73522,6156,872,140,Local transmission,0,,,,,,,,,,20200402,73
France,56261,4784,4019,505,Local transmission,0,,,,,,,,,,20200402,73
The United Kingdom,29478,4324,2532,743,Local transmission,0,,,,,,,,,,20200402,73
Switzerland,17070,962,378,5,Local transmission,0,,,,,,,,,,20200402,73
Turkey,15679,2148,277,63,Local transmission,0,,,,,,,,,,20200402,73
Belgium,13964,1189,828,123,Local transmission,0,,,,,,,,,,20200402,73
Netherlands,13614,1019,1173,134,Local transmission,0,,,,,,,,,,20200402,73
Austria,10711,529,146,18,Local transmission,0,,,,,,,,,,20200402,73
Portugal,8251,808,187,27,Local transmission,0,,,,,,,,,,20200402,73
