0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,date,sitrep
"Reporting Country/ 
Territory/Area†",,"Total 
confirmed 
new cases","Total 
deaths","Total 
new 
deaths","Transmission 
classification§","Days since last 
reported case",,,,,,,,,,,,,20200406,77
Western Pacific Region,,,,,,,,,,,,,,,,,,,20200406,77
China,83005,75,3340,2,Local transmission,0,,,,,,,,,,,,,20200406,77
Republic of Korea,10284,47,186,3,Local transmission,0,,,,,,,,,,,,,20200406,77
Australia,5744,109,36,2,Local transmission,0,,,,,,,,,,,,,20200406,77
Malaysia,3662,179,61,4,Local transmission,0,,,,,,,,,,,,,20200406,77
Japan,3654,383,73,3,Local transmission,0,,,,,,,,,,,,,20200406,77
Philippines,3246,152,152,8,Local transmission,0,,,,,,,,,,,,,20200406,77
Singapore,1309,120,6,1,Local transmission,0,,,,,,,,,,,,,20200406,77
New Zealand,911,39,1,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Viet Nam,241,1,0,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Brunei Darussalam,135,0,1,0,Local transmission,1,,,,,,,,,,,,,20200406,77
Cambodia,114,0,0,0,Local transmission,2,,,,,,,,,,,,,20200406,77
Mongolia,14,0,0,0,Imported cases only,4,,,,,,,,,,,,,20200406,77
Fiji,12,0,0,0,Local transmission,1,,,,,,,,,,,,,20200406,77
"Lao People's 
Democratic Republic",11,1,0,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Papua New Guinea,1,0,0,0,Imported cases only,16,,,,,,,,,,,,,20200406,77
Territories**,,,,,,,,,,,,,,,,,,,20200406,77
Guam,112,19,4,0,Local transmission,0,,,,,,,,,,,,,20200406,77
French Polynesia,41,1,0,0,Local transmission,0,,,,,,,,,,,,,20200406,77
New Caledonia,18,0,0,0,Local transmission,3,,,,,,,,,,,,,20200406,77
"Northern Mariana 
Islands 
(Commonwealth of 
the)",8,0,1,0,Local transmission,3,,,,,,,,,,,,,20200406,77
European Region,,,,,,,,,,,,,,,,,,,20200406,77
Spain,130759,6023,12418,674,Local transmission,0,,,,,,,,,,,,,20200406,77
Italy,128948,4316,15889,527,Local transmission,0,,,,,,,,,,,,,20200406,77
Germany,95391,3677,1434,92,Local transmission,0,,,,,,,,,,,,,20200406,77
France,69607,1850,8064,518,Local transmission,0,,,,,,,,,,,,,20200406,77
The United Kingdom,47810,5903,4934,621,Local transmission,0,,,,,,,,,,,,,20200406,77
Turkey,27069,3135,574,73,Local transmission,0,,,,,,,,,,,,,20200406,77
Switzerland,21065,576,715,49,Local transmission,0,,,,,,,,,,,,,20200406,77
Belgium,19691,1260,1447,164,Local transmission,0,,,,,,,,,,,,,20200406,77
Netherlands,17851,1224,1766,115,Local transmission,0,,,,,,,,,,,,,20200406,77
Austria,11983,217,204,18,Local transmission,0,,,,,,,,,,,,,20200406,77
Portugal,11278,754,295,29,Local transmission,0,,,,,,,,,,,,,20200406,77
Israel,8018,429,46,4,Local transmission,0,,,,,,,,,,,,,20200406,77
Sweden,6830,387,401,28,Local transmission,0,,,,,,,,,,,,,20200406,77
Norway,5640,130,58,8,Local transmission,0,,,,,,,,,,,,,20200406,77
Russian Federation,5389,658,45,2,Local transmission,0,,,,,,,,,,,,,20200406,77
Ireland,5111,507,158,21,Local transmission,0,,,,,,,,,,,,,20200406,77
Czechia,4587,115,67,8,Local transmission,0,,,,,,,,,,,,,20200406,77
Denmark,4369,292,179,18,Local transmission,0,,,,,,,,,,,,,20200406,77
Poland,4102,475,94,15,Local transmission,0,,,,,,,,,,,,,20200406,77
Romania,3864,251,148,7,Local transmission,0,,,,,,,,,,,,,20200406,77
Luxembourg,2804,75,36,5,Local transmission,0,,,,,,,,,,,,,20200406,77
Finland,1927,45,28,3,Local transmission,0,,,,,,,,,,,,,20200406,77
Serbia,1908,284,51,12,Local transmission,0,,,,,,,,,,,,,20200406,77
Greece,1735,62,73,5,Local transmission,0,,,,,,,,,,,,,20200406,77
Iceland,1486,69,4,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Ukraine,1319,68,38,6,Local transmission,0,,,,,,,,,,,,,20200406,77
Croatia,1182,56,15,3,Local transmission,0,,,,,,,,,,,,,20200406,77
Estonia,1097,79,15,2,Local transmission,0,,,,,,,,,,,,,20200406,77
Slovenia,997,20,28,6,Local transmission,0,,,,,,,,,,,,,20200406,77
Republic of Moldova,864,112,15,3,Local transmission,0,,,,,,,,,,,,,20200406,77
Lithuania,811,40,13,4,Local transmission,0,,,,,,,,,,,,,20200406,77
Armenia,746,0,7,0,Local transmission,1,,,,,,,,,,,,,20200406,77
Hungary,744,11,38,4,Local transmission,0,,,,,,,,,,,,,20200406,77
"Bosnia and 
Herzegovina",662,30,21,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Kazakhstan,604,73,5,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Azerbaijan,584,72,5,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Belarus,562,122,8,4,Local transmission,0,,,,,,,,,,,,,20200406,77
North Macedonia,555,72,18,1,Local transmission,0,,,,,,,,,,,,,20200406,77
Latvia,533,24,1,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Bulgaria,531,28,20,3,Local transmission,0,,,,,,,,,,,,,20200406,77
Andorra,523,57,17,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Slovakia,485,14,0,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Cyprus,446,20,14,3,Local transmission,0,,,,,,,,,,,,,20200406,77
Uzbekistan,390,92,2,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Albania,377,44,21,3,Local transmission,0,,,,,,,,,,,,,20200406,77
San Marino,266,7,32,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Malta,234,21,0,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Kyrgyzstan,216,69,4,3,Local transmission,0,,,,,,,,,,,,,20200406,77
Montenegro,203,6,2,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Georgia,188,18,2,1,Local transmission,0,,,,,,,,,,,,,20200406,77
Liechtenstein,78,1,1,0,Under investigation,0,,,,,,,,,,,,,20200406,77
Monaco,37,0,0,0,Local transmission,5,,,,,,,,,,,,,20200406,77
Holy See,7,0,0,0,Under investigation,3,,,,,,,,,,,,,20200406,77
Territories**,,,,,,,,,,,,,,,,,,,20200406,77
Faroe Islands,181,0,0,0,Local transmission,1,,,,,,,,,,,,,20200406,77
Jersey,155,32,3,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Guernsey,154,18,3,1,Local transmission,0,,,,,,,,,,,,,20200406,77
Kosovo[1],145,5,1,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Isle of Man,127,1,1,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Gibraltar,103,5,1,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Greenland,11,1,0,0,Under investigation,0,,,,,,,,,,,,,20200406,77
South-East Asia Region,,,,,,,,,,,,,,,,,,,20200406,77
"India 
4067 
693 
109 
32 
Local transmission 
0",,,,,,,,,,,,,,,,,,,20200406,77
"Indonesia 
2273 
181 
198 
7 
Local transmission 
0",,,,,,,,,,,,,,,,,,,20200406,77
Thailand,2169,102,23,3,Local transmission,0,,,,,,,,,,,,,20200406,77
Sri Lanka,176,17,5,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Bangladesh,88,18,8,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Myanmar,21,1,1,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Maldives,19,0,0,0,Local transmission,3,,,,,,,,,,,,,20200406,77
Nepal,9,0,0,0,Local transmission,1,,,,,,,,,,,,,20200406,77
Bhutan,5,0,0,0,Imported cases only,3,,,,,,,,,,,,,20200406,77
Timor-Leste,1,0,0,0,Imported cases only,16,,,,,,,,,,,,,20200406,77
Eastern Mediterranean Region,,,,,,,,,,,,,,,,,,,20200406,77
"Iran (Islamic Republic 
of)",58226,2483,3603,151,Local transmission,0,,,,,,,,,,,,,20200406,77
Pakistan,3277,397,50,5,Local transmission,0,,,,,,,,,,,,,20200406,77
Saudi Arabia,2463,93,34,5,Local transmission,0,,,,,,,,,,,,,20200406,77
United Arab Emirates,1799,294,10,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Qatar,1604,279,4,1,Local transmission,0,,,,,,,,,,,,,20200406,77
Egypt,1173,103,78,7,Local transmission,0,,,,,,,,,,,,,20200406,77
Morocco,1113,153,71,5,Local transmission,0,,,,,,,,,,,,,20200406,77
Iraq,961,83,61,5,Local transmission,0,,,,,,,,,,,,,20200406,77
Bahrain,700,12,4,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Tunisia,574,21,22,3,Local transmission,0,,,,,,,,,,,,,20200406,77
Kuwait,556,0,1,0,Local transmission,1,,,,,,,,,,,,,20200406,77
Lebanon,527,0,18,0,Local transmission,1,,,,,,,,,,,,,20200406,77
Jordan,345,22,5,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Afghanistan,337,38,7,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Oman,331,33,2,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Djibouti,59,8,0,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Syrian Arab Republic,19,3,2,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Libya,18,1,1,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Sudan,12,2,2,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Somalia,7,0,0,0,Local transmission,2,,,,,,,,,,,,,20200406,77
Territories**,,,,,,,,,,,,,,,,,,,20200406,77
"occupied Palestinian 
246 
29 
1 
0 
Local transmission  
0 
territory",,,,,,,,,,,,,,,,,,,20200406,77
Region of the Americas,,,,,,,,,,,,,,,,,,,20200406,77
"United States of 
America",307318,33510,8358,1338,Local transmission,0,,,,,,,,,,,,,20200406,77
Canada,13904,966,231,17,Local transmission,0,,,,,,,,,,,,,20200406,77
Brazil,10278,1222,432,73,Local transmission,0,,,,,,,,,,,,,20200406,77
Chile,4471,310,34,7,Local transmission,0,,,,,,,,,,,,,20200406,77
Ecuador,3465,0,172,0,Local transmission,1,,,,,,,,,,,,,20200406,77
Mexico,1890,202,79,19,Local transmission,0,,,,,,,,,,,,,20200406,77
Panama,1801,128,46,5,Local transmission,0,,,,,,,,,,,,,20200406,77
Peru,1746,151,73,12,Local transmission,0,,,,,,,,,,,,,20200406,77
Dominican Republic,1488,0,68,0,Local transmission,2,,,,,,,,,,,,,20200406,77
Argentina,1451,98,44,2,Local transmission,0,,,,,,,,,,,,,20200406,77
Colombia,1406,139,32,7,Local transmission,0,,,,,,,,,,,,,20200406,77
Costa Rica,435,19,2,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Uruguay,400,14,5,1,Local transmission,0,,,,,,,,,,,,,20200406,77
Cuba,320,32,8,2,Local transmission,0,,,,,,,,,,,,,20200406,77
Honduras,268,4,22,7,Local transmission,0,,,,,,,,,,,,,20200406,77
"Bolivia (Plurinational 
State of)",157,18,10,0,Local transmission,0,,,,,,,,,,,,,20200406,77
"Venezuela (Bolivarian 
Republic of)",144,0,3,0,Local transmission,3,,,,,,,,,,,,,20200406,77
Paraguay,104,8,3,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Trinidad and Tobago,103,3,6,0,Local transmission,0,,,,,,,,,,,,,20200406,77
El Salvador,62,6,3,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Guatemala,61,11,2,1,Local transmission,0,,,,,,,,,,,,,20200406,77
Jamaica,55,2,3,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Barbados,51,0,0,0,Local transmission,1,,,,,,,,,,,,,20200406,77
Bahamas,28,4,4,1,Local transmission,0,,,,,,,,,,,,,20200406,77
Guyana,24,1,4,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Haiti,21,3,0,0,Imported cases only,0,,,,,,,,,,,,,20200406,77
Saint Lucia,14,1,0,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Grenada,12,0,0,0,Local transmission,1,,,,,,,,,,,,,20200406,77
Dominica,11,0,0,0,Local transmission,10,,,,,,,,,,,,,20200406,77
Suriname,10,0,0,0,Local transmission,2,,,,,,,,,,,,,20200406,77
Saint Kitts and Nevis,9,0,0,0,Imported cases only,1,,,,,,,,,,,,,20200406,77
Antigua and Barbuda,7,0,0,0,Local transmission,9,,,,,,,,,,,,,20200406,77
Belize,5,1,0,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Nicaragua,5,0,1,0,Imported cases only,4,,,,,,,,,,,,,20200406,77
"Saint Vincent and the 
Grenadines",3,0,0,0,Imported cases only,2,,,,,,,,,,,,,20200406,77
Territories**,,,,,,,,,,,,,,,,,,,20200406,77
Puerto Rico,452,0,18,0,Local transmission,1,,,,,,,,,,,,,20200406,77
Martinique,145,0,3,0,Local transmission,1,,,,,,,,,,,,,20200406,77
Guadeloupe,134,4,7,0,Local transmission,0,,,,,,,,,,,,,20200406,77
French Guiana,66,4,0,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Aruba,64,0,0,0,Local transmission,1,,,,,,,,,,,,,20200406,77
"United States Virgin 
Islands",42,2,0,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Bermuda,37,2,0,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Cayman Islands,35,7,1,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Saint Martin,29,5,2,0,Under investigation,0,,,,,,,,,,,,,20200406,77
Sint Maarten,23,0,2,0,Imported cases only,2,,,,,,,,,,,,,20200406,77
Curaçao,11,0,1,0,Imported cases only,6,,,,,,,,,,,,,20200406,77
Montserrat,6,0,0,0,Imported cases only,1,,,,,,,,,,,,,20200406,77
Saint Barthélemy,6,0,0,0,Under investigation,6,,,,,,,,,,,,,20200406,77
"Turks and Caicos 
Islands",5,0,1,1,Local transmission,6,,,,,,,,,,,,,20200406,77
Anguilla,3,0,0,0,Local transmission,2,,,,,,,,,,,,,20200406,77
British Virgin Islands,3,0,0,0,Imported cases only,5,,,,,,,,,,,,,20200406,77
"Bonaire, Sint Eustatius 
and Saba",2,0,0,0,Imported cases only,2,,,,,,,,,,,,,20200406,77
"Falkland Islands 
(Malvinas)",2,1,0,0,Under investigation,0,,,,,,,,,,,,,20200406,77
African Region,,,,,,,,,,,,,,,,,,,20200406,77
"South Africa 
1655 
70 
11 
2 
Local transmission 
0",,,,,,,,,,,,,,,,,,,20200406,77
"Algeria 
1251 
0 
130 
0 
Local transmission 
1",,,,,,,,,,,,,,,,,,,20200406,77
"Cameroon 
555 
0 
9 
0 
Local transmission 
1",,,,,,,,,,,,,,,,,,,20200406,77
Burkina Faso,302,0,15,0,Local transmission,1,,,,,,,,,,,,,20200406,77
Côte d’Ivoire,245,0,2,0,Local transmission,1,,,,,,,,,,,,,20200406,77
Mauritius,227,31,7,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Senegal,222,3,2,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Nigeria,208,0,4,0,Local transmission,1,,,,,,,,,,,,,20200406,77
Ghana,205,0,5,0,Local transmission,1,,,,,,,,,,,,,20200406,77
"Democratic Republic 
of the Congo",161,13,18,2,Local transmission,0,,,,,,,,,,,,,20200406,77
Niger,144,0,8,0,Local transmission,1,,,,,,,,,,,,,20200406,77
Kenya,142,20,4,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Guinea,111,0,0,0,Local transmission,1,,,,,,,,,,,,,20200406,77
Rwanda,102,0,0,0,Local transmission,1,,,,,,,,,,,,,20200406,77
Madagascar,77,7,0,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Uganda,48,0,0,0,Local transmission,1,,,,,,,,,,,,,20200406,77
Congo,45,0,5,0,Local transmission,1,,,,,,,,,,,,,20200406,77
Togo,44,4,3,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Ethiopia,43,5,1,1,Local transmission,0,,,,,,,,,,,,,20200406,77
Mali,39,0,4,0,Local transmission,1,,,,,,,,,,,,,20200406,77
Zambia,39,0,1,0,Local transmission,3,,,,,,,,,,,,,20200406,77
Eritrea,29,9,0,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Benin,22,9,0,0,Local transmission,0,,,,,,,,,,,,,20200406,77
"United Republic of 
Tanzania",22,2,1,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Gabon,21,0,1,0,Imported cases only,2,,,,,,,,,,,,,20200406,77
Guinea-Bissau,18,0,0,0,Imported cases only,1,,,,,,,,,,,,,20200406,77
Equatorial Guinea,16,0,0,0,Local transmission,1,,,,,,,,,,,,,20200406,77
Namibia,16,2,0,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Angola,14,4,2,0,Imported cases only,0,,,,,,,,,,,,,20200406,77
Liberia,13,3,3,2,Local transmission,0,,,,,,,,,,,,,20200406,77
Mozambique,10,0,0,0,Local transmission,4,,,,,,,,,,,,,20200406,77
Seychelles,10,0,0,0,Imported cases only,4,,,,,,,,,,,,,20200406,77
"Central African 
Republic",9,0,0,0,Local transmission,1,,,,,,,,,,,,,20200406,77
Chad,9,2,0,0,Imported cases only,0,,,,,,,,,,,,,20200406,77
Eswatini,9,0,0,0,Imported cases only,9,,,,,,,,,,,,,20200406,77
Zimbabwe,9,0,1,0,Local transmission,2,,,,,,,,,,,,,20200406,77
Mauritania,6,0,1,0,Imported cases only,2,,,,,,,,,,,,,20200406,77
Sierra Leone,6,2,0,0,Imported cases only,0,,,,,,,,,,,,,20200406,77
Cabo Verde,5,0,1,0,Imported cases only,9,,,,,,,,,,,,,20200406,77
Botswana,4,0,1,0,Imported cases only,3,,,,,,,,,,,,,20200406,77
Gambia,4,0,1,0,Imported cases only,3,,,,,,,,,,,,,20200406,77
Malawi,4,1,0,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Burundi,3,0,0,0,Local transmission,2,,,,,,,,,,,,,20200406,77
South Sudan,1,1,0,0,Under investigation,0,,,,,,,,,,,,,20200406,77
Territories**,,,,,,,,,,,,,,,,,,,20200406,77
Réunion,344,10,0,0,Local transmission,0,,,,,,,,,,,,,20200406,77
Mayotte,147,0,2,0,Local transmission,1,,,,,,,,,,,,,20200406,77
"Subtotal for all 
regions",1 210244,77 200,67 583,4810,,,,,,,,,,,,,,,20200406,77
International,712,0,11,0,Local transmission,21,,,,,,,,,,,,,20200406,77
,,,,,,,,,,,,,,,,,,,20200406,77
,,,,,,,,,,,,,,,,,,,20200406,77
,,,,,,,,,,,,,,,,,,,20200406,77
