Country,Total Cases,ChangeToday,Total Deaths,Region,timestamp
China,"11,860",+69,259,Asia,20200202024946
Japan,20,+3,0,Asia,20200202024946
Thailand,19,,0,Asia,20200202024946
Singapore,18,+2,0,Asia,20200202024946
Hong Kong,13,,0,Asia,20200202024946
South Korea,12,+1,0,Asia,20200202024946
Australia,12,+3,0,Australia/Oceania,20200202024946
Taiwan,10,,0,Asia,20200202024946
Malaysia,8,,0,Asia,20200202024946
U.S.,7,,0,North America,20200202024946
Germany,7,,0,Europe,20200202024946
Macao,7,,0,Asia,20200202024946
Vietnam,6,+1,0,Asia,20200202024946
France,6,,0,Europe,20200202024946
U.A.E.,4,,0,Asia,20200202024946
Canada,4,,0,North America,20200202024946
Italy,2,,0,Europe,20200202024946
Russia,2,,0,Europe,20200202024946
U.K.,2,,0,Europe,20200202024946
Cambodia,1,,0,Asia,20200202024946
India,1,,0,Asia,20200202024946
Finland,1,,0,Europe,20200202024946
Philippines,1,,0,Asia,20200202024946
Sri Lanka,1,,0,Asia,20200202024946
Nepal,1,,0,Asia,20200202024946
Sweden,1,,0,Europe,20200202024946
Spain,1,,0,Europe,20200202024946
