"Country,Territory",Total Cases,"Feb 10,11Cases",TotalDeaths,"Feb 10,11Deaths",TotalRecovered,TotalSevere,Region,timestamp
China,"42,670","+2,499","1,016",+108,"4,318","7,333",Asia,20200211184921
Japan,163,+67,,,4,,Asia,20200211184921
Hong Kong,49,+13,1,,,,Asia,20200211184921
Singapore,47,+4,,,9,7,Asia,20200211184921
Thailand,33,+1,,,10,1,Asia,20200211184921
S. Korea,28,+1,,,3,,Asia,20200211184921
Taiwan,18,,,,1,,Asia,20200211184921
Malaysia,18,+1,,,3,,Asia,20200211184921
Vietnam,15,+1,,,3,,Asia,20200211184921
Australia,15,,,,5,,Oceania,20200211184921
Germany,14,,,,,,Europe,20200211184921
USA,13,+1,,,3,,N.America,20200211184921
France,11,,,,,1,Europe,20200211184921
Macao,10,,,,1,,Asia,20200211184921
U.A.E.,8,+1,,,1,1,Asia,20200211184921
U.K.,8,+4,,,1,,Europe,20200211184921
Canada,7,,,,1,,N.America,20200211184921
Philippines,3,,1,,2,,Asia,20200211184921
Italy,3,,,,,2,Europe,20200211184921
India,3,,,,,,Asia,20200211184921
Russia,2,,,,,,Europe,20200211184921
Spain,2,,,,,,Europe,20200211184921
Sweden,1,,,,,,Europe,20200211184921
Sri Lanka,1,,,,1,,Asia,20200211184921
Nepal,1,,,,,,Asia,20200211184921
Finland,1,,,,1,,Europe,20200211184921
Cambodia,1,,,,1,,Asia,20200211184921
Belgium,1,,,,,,Europe,20200211184921
