"Country,Territory",Total Cases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,"Serious,Critical",Region,timestamp
China,"70,553","+2,053","1,771",+106,"11,066","11,272",Asia,20200217100150
Singapore,75,,,,19,5,Asia,20200217100150
Japan,65,+6,1,,17,8,Asia,20200217100150
Hong Kong,58,+1,1,,2,7,Asia,20200217100150
Thailand,35,+1,,,15,2,Asia,20200217100150
S. Korea,30,+1,,,10,,Asia,20200217100150
Malaysia,22,,,,8,,Asia,20200217100150
Taiwan,20,,1,,2,,Asia,20200217100150
Germany,16,,,,3,,Europe,20200217100150
Vietnam,16,,,,7,,Asia,20200217100150
USA,15,,,,3,,N.America,20200217100150
Australia,15,,,,10,,Oceania,20200217100150
France,12,,1,,4,,Europe,20200217100150
Macao,10,,,,5,,Asia,20200217100150
U.A.E.,9,,,,3,1,Asia,20200217100150
U.K.,9,,,,8,,Europe,20200217100150
Canada,8,,,,1,,N.America,20200217100150
Philippines,3,,1,,2,,Asia,20200217100150
Italy,3,,,,,2,Europe,20200217100150
India,3,,,,3,,Asia,20200217100150
Russia,2,,,,2,,Europe,20200217100150
Spain,2,,,,2,,Europe,20200217100150
Egypt,1,,,,,,Africa,20200217100150
Cambodia,1,,,,1,,Asia,20200217100150
Sweden,1,,,,,,Europe,20200217100150
Nepal,1,,,,1,,Asia,20200217100150
Belgium,1,,,,1,,Europe,20200217100150
Sri Lanka,1,,,,1,,Asia,20200217100150
Finland,1,,,,1,,Europe,20200217100150
