"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical",timestamp
China,"80,026",,"2,912",,"32,279","44,835","7,110",20200303000625
S. Korea,"4,335",+599,28,+7,"4,277",30,27,20200303000625
Italy,"2,036",+335,52,+11,"1,835",149,166,20200303000625
Iran,"1,501",+523,66,+12,"1,144",291,,20200303000625
Diamond Princess,705,,7,,598,100,36,20200303000625
Japan,274,+18,6,,226,42,19,20200303000625
France,191,+61,3,+1,176,12,8,20200303000625
Germany,165,+35,,,149,16,2,20200303000625
Spain,120,+36,,,118,2,3,20200303000625
Singapore,108,+2,,,30,78,6,20200303000625
Hong Kong,100,,2,,62,36,6,20200303000625
USA,99,+24,6,+5,84,9,7,20200303000625
Kuwait,56,+10,,,56,,,20200303000625
Bahrain,49,+2,,,49,,,20200303000625
Thailand,43,+1,1,,12,30,1,20200303000625
Taiwan,41,+1,1,,28,12,1,20200303000625
U.K.,40,+4,,,32,8,,20200303000625
Australia,33,+4,1,,17,15,1,20200303000625
Malaysia,29,,,,7,22,,20200303000625
Canada,27,+3,,,20,7,,20200303000625
Iraq,26,+7,,,26,,,20200303000625
Norway,25,+6,,,25,,,20200303000625
Switzerland,24,,,,23,1,,20200303000625
U.A.E.,21,,,,16,5,2,20200303000625
Austria,18,+4,,,18,,,20200303000625
Netherlands,18,+8,,,18,,1,20200303000625
Vietnam,16,,,,0,16,,20200303000625
Sweden,15,+1,,,15,,,20200303000625
Lebanon,13,+3,,,13,,,20200303000625
Israel,12,+2,,,11,1,,20200303000625
Macao,10,,,,4,6,,20200303000625
San Marino,8,,1,,7,,1,20200303000625
Belgium,8,+6,,,7,1,,20200303000625
Croatia,8,+1,,,8,,,20200303000625
Greece,7,,,,7,,,20200303000625
Qatar,7,+4,,,7,,,20200303000625
Ecuador,6,,,,6,,1,20200303000625
Finland,6,,,,5,1,,20200303000625
Iceland,6,+3,,,6,,,20200303000625
India,6,+3,,,3,3,,20200303000625
Oman,6,,,,4,2,,20200303000625
Mexico,5,,,,5,,,20200303000625
Denmark,4,,,,4,,,20200303000625
Pakistan,4,,,,4,,,20200303000625
Philippines,3,,1,,0,2,,20200303000625
Algeria,3,,,,3,,,20200303000625
Azerbaijan,3,,,,3,,,20200303000625
Czechia,3,,,,3,,,20200303000625
Georgia,3,,,,3,,,20200303000625
Romania,3,,,,2,1,,20200303000625
Russia,3,+1,,,1,2,,20200303000625
Brazil,2,,,,2,,,20200303000625
Egypt,2,,,,1,1,,20200303000625
Indonesia,2,+2,,,2,,,20200303000625
Portugal,2,+2,,,2,,,20200303000625
Afghanistan,1,,,,1,,,20200303000625
Andorra,1,+1,,,1,,,20200303000625
Armenia,1,,,,1,,,20200303000625
Belarus,1,,,,1,,,20200303000625
Cambodia,1,,,,0,1,,20200303000625
Dominican Republic,1,,,,1,,,20200303000625
Estonia,1,,,,1,,,20200303000625
Ireland,1,,,,1,,,20200303000625
Jordan,1,+1,,,1,,,20200303000625
Latvia,1,+1,,,1,,,20200303000625
Lithuania,1,,,,1,,,20200303000625
Luxembourg,1,,,,1,,,20200303000625
North Macedonia,1,,,,1,,,20200303000625
Monaco,1,,,,1,,,20200303000625
Morocco,1,+1,,,1,,,20200303000625
Nepal,1,,,,0,1,,20200303000625
New Zealand,1,,,,1,,,20200303000625
Nigeria,1,,,,1,,,20200303000625
Saudi Arabia,1,+1,,,1,,,20200303000625
Senegal,1,+1,,,1,,,20200303000625
Sri Lanka,1,,,,0,1,,20200303000625
Tunisia,1,+1,,,1,,,20200303000625
Total:,"90,308","1,718","3,087",36,"41,482","45,739","7,398",20200303000625
