"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop,timestamp
China,"81,171",,"3,277",,"73,159","4,735","1,573",56,2,20200325000056
Italy,"69,176","+5,249","6,820",+743,"8,326","54,030","3,393","1,144",113,20200325000056
USA,"53,595","+9,861",696,+143,375,"52,524","1,175",162,2,20200325000056
Spain,"42,058","+6,922","2,991",+680,"3,794","35,273","2,636",900,64,20200325000056
Germany,"32,991","+3,935",159,+36,"3,243","29,589",23,394,2,20200325000056
Iran,"24,811","+1,762","1,934",+122,"8,913","13,964",,295,23,20200325000056
France,"22,304","+2,448","1,100",+240,"3,281","17,923","2,516",342,17,20200325000056
Switzerland,"9,877","+1,082",122,+2,131,"9,624",141,"1,141",14,20200325000056
S. Korea,"9,037",+76,120,+9,"3,507","5,410",59,176,2,20200325000056
UK,"8,077","+1,427",422,+87,135,"7,520",20,119,6,20200325000056
Netherlands,"5,560",+811,276,+63,2,"5,282",435,324,16,20200325000056
Austria,"5,283",+809,28,+7,9,"5,246",22,587,3,20200325000056
Belgium,"4,269",+526,122,+34,461,"3,686",381,368,11,20200325000056
Norway,"2,863",+238,12,+2,6,"2,845",44,528,2,20200325000056
Canada,"2,792",+701,26,+2,112,"2,654",1,74,0.7,20200325000056
Portugal,"2,362",+302,33,+10,22,"2,307",48,232,3,20200325000056
Australia,"2,317",+430,8,+1,118,"2,191",11,91,0.3,20200325000056
Sweden,"2,286",+240,36,+9,16,"2,234",136,226,4,20200325000056
Brazil,"2,247",+323,46,+12,2,"2,199",18,11,0.2,20200325000056
Israel,"1,930",+488,3,+2,53,"1,874",34,223,0.3,20200325000056
Turkey,"1,872",+343,44,+7,,"1,828",,22,0.5,20200325000056
Malaysia,"1,624",+106,16,+2,183,"1,425",64,50,0.5,20200325000056
Denmark,"1,591",+131,32,+8,1,"1,558",69,275,6,20200325000056
Czechia,"1,394",+158,3,+2,10,"1,381",19,130,0.3,20200325000056
