"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1stcase,timestamp
USA,"163,381","+19,890","3,148",+565,"5,506","154,727","3,512",494,10,Jan 20,20200331000036
Italy,"101,739","+4,050","11,591",+812,"14,620","75,528","3,981","1,683",192,Jan 29,20200331000036
Spain,"87,956","+7,846","7,716",+913,"16,780","63,460","5,231","1,881",165,Jan 30,20200331000036
Germany,"66,885","+4,450",645,+104,"13,500","52,740","1,979",798,8,Jan 26,20200331000036
France,"44,550","+4,376","3,024",+418,"7,927","33,599","5,056",683,46,Jan 23,20200331000036
Iran,"41,495","+3,186","2,757",+117,"13,911","24,827","3,511",494,33,Feb 18,20200331000036
UK,"22,141","+2,619","1,408",+180,135,"20,598",163,326,21,Jan 30,20200331000036
Switzerland,"15,922","+1,093",359,+59,"1,823","13,740",301,"1,840",41,Feb 24,20200331000036
Belgium,"11,899","+1,063",513,+82,"1,527","9,859",927,"1,027",44,Feb 03,20200331000036
Netherlands,"11,750",+884,864,+93,250,"10,636","1,053",686,50,Feb 26,20200331000036
Turkey,"10,827","+1,610",168,+37,162,"10,497",568,128,2,Mar 09,20200331000036
S. Korea,"9,661",+78,158,+6,"5,228","4,275",59,188,3,Jan 19,20200331000036
Austria,"9,618",+830,108,+22,636,"8,874",193,"1,068",12,Feb 24,20200331000036
Canada,"7,448","+1,128",89,+24,"1,093","6,266",120,197,2,Jan 24,20200331000036
Portugal,"6,408",+446,140,+21,43,"6,225",164,628,14,Mar 01,20200331000036
Israel,"4,695",+448,16,+1,161,"4,518",79,542,2,Feb 20,20200331000036
Brazil,"4,630",+374,163,+27,120,"4,347",296,22,0.8,Feb 24,20200331000036
Australia,"4,460",+297,19,+2,244,"4,197",28,175,0.7,Jan 24,20200331000036
Norway,"4,445",+161,32,+6,12,"4,401",97,820,6,Feb 25,20200331000036
Sweden,"4,028",+328,146,+36,16,"3,866",306,399,14,Jan 30,20200331000036
Czechia,"3,001",+184,23,+7,25,"2,953",52,280,2,Feb 29,20200331000036
Ireland,"2,910",+295,54,+8,5,"2,851",84,589,11,Feb 28,20200331000036
Malaysia,"2,626",+156,37,+2,479,"2,110",94,81,1,Jan 24,20200331000036
Denmark,"2,577",+182,77,+5,1,"2,499",137,445,13,Feb 26,20200331000036
Chile,"2,449",+310,8,+1,156,"2,285",14,128,0.4,Mar 02,20200331000036
Romania,"2,109",+294,65,+22,209,"1,835",33,110,3,Feb 25,20200331000036
Poland,"2,055",+193,31,+9,7,"2,017",3,54,0.8,Mar 03,20200331000036
Luxembourg,"1,988",+38,22,+1,40,"1,926",25,"3,176",35,Feb 28,20200331000036
Ecuador,"1,966",+42,62,+4,3,"1,901",58,111,4,Feb 28,20200331000036
Japan,"1,953",+87,56,+2,424,"1,473",56,15,0.4,Jan 14,20200331000036
Russia,"1,836",+302,9,+1,66,"1,761",8,13,0.06,Jan 30,20200331000036
Pakistan,"1,717",+120,21,+7,76,"1,620",11,8,0.10,Feb 25,20200331000036
Philippines,"1,546",+128,78,+7,42,"1,426",1,14,0.7,Jan 29,20200331000036
Thailand,"1,524",+136,9,+2,229,"1,286",11,22,0.1,Jan 12,20200331000036
Saudi Arabia,"1,453",+154,8,,115,"1,330",12,42,0.2,Mar 01,20200331000036
Indonesia,"1,414",+129,122,+8,75,"1,217",,5,0.4,Mar 01,20200331000036
Finland,"1,352",+112,13,+2,10,"1,329",49,244,2,Jan 28,20200331000036
South Africa,"1,326",+46,3,+1,31,"1,292",7,22,0.05,Mar 04,20200331000036
India,"1,251",+227,32,+5,102,"1,117",,0.9,0.02,Jan 29,20200331000036
Greece,"1,212",+56,46,+7,52,"1,114",72,116,4,Feb 25,20200331000036
Iceland,"1,086",+66,2,,157,927,25,"3,182",6,Feb 27,20200331000036
Panama,"1,075",+86,27,+3,9,"1,039",43,249,6,Mar 09,20200331000036
Mexico,993,+145,20,+4,35,938,1,8,0.2,Feb 27,20200331000036
Peru,950,+98,24,+6,53,873,49,29,0.7,Mar 05,20200331000036
Dominican Republic,901,+42,42,+3,4,855,,83,4,Feb 29,20200331000036
Singapore,879,+35,3,,228,648,19,150,0.5,Jan 22,20200331000036
Argentina,820,,23,+3,228,569,,18,0.5,Mar 02,20200331000036
Colombia,798,+96,14,+4,15,769,29,16,0.3,Mar 05,20200331000036
Croatia,790,+77,6,,67,717,27,192,1,Feb 24,20200331000036
Serbia,785,+44,16,+3,42,727,62,90,2,Mar 05,20200331000036
Slovenia,756,+26,11,,10,735,28,364,5,Mar 03,20200331000036
Estonia,715,+36,3,,20,692,10,539,2,Feb 26,20200331000036
Diamond Princess,712,,10,,603,99,15,,,Feb 04,20200331000036
Qatar,693,+59,1,,51,641,6,241,0.3,Feb 28,20200331000036
Hong Kong,683,+41,4,,118,561,5,91,0.5,Jan 22,20200331000036
Egypt,656,+47,41,+1,150,465,,6,0.4,Feb 13,20200331000036
Iraq,630,+83,46,+4,152,432,,16,1,Feb 21,20200331000036
UAE,611,+41,5,+2,61,545,2,62,0.5,Jan 28,20200331000036
New Zealand,589,+75,1,,63,525,2,122,0.2,Feb 27,20200331000036
Algeria,584,+73,35,+4,37,512,,13,0.8,Feb 24,20200331000036
Morocco,556,+77,33,+7,15,508,1,15,0.9,Mar 01,20200331000036
Ukraine,548,+73,13,+3,8,527,,13,0.3,Mar 02,20200331000036
Bahrain,515,+16,4,,295,216,2,303,2,Feb 23,20200331000036
Lithuania,491,+31,7,,7,477,5,180,3,Feb 27,20200331000036
Armenia,482,+58,3,,30,449,15,163,1,Feb 29,20200331000036
Hungary,447,+39,15,+2,34,398,6,46,2,Mar 03,20200331000036
Lebanon,446,+8,11,+1,35,400,3,65,2,Feb 20,20200331000036
Latvia,376,+29,,,1,375,3,199,,Mar 01,20200331000036
Andorra,370,+36,8,+2,10,352,10,"4,789",104,Mar 01,20200331000036
Bosnia and Herzegovina,368,+45,10,+4,17,341,1,112,3,Mar 04,20200331000036
Tunisia,362,+50,10,+2,3,349,10,31,0.8,Mar 01,20200331000036
Bulgaria,359,+13,8,,17,334,13,52,1,Mar 06,20200331000036
Slovakia,336,+22,,,7,329,1,62,,Mar 05,20200331000036
Costa Rica,330,+16,2,,4,324,7,65,0.4,Mar 04,20200331000036
Uruguay,320,+16,1,,25,294,9,92,0.3,Mar 12,20200331000036
Taiwan,306,+8,5,+2,39,262,,13,0.2,Jan 20,20200331000036
Kazakhstan,302,+18,1,,21,280,,16,0.05,Mar 12,20200331000036
Moldova,298,+35,2,,15,281,44,74,0.5,Mar 06,20200331000036
North Macedonia,285,+26,7,+1,12,266,1,137,3,Feb 25,20200331000036
Azerbaijan,273,+64,4,,26,243,23,27,0.4,Feb 27,20200331000036
Jordan,268,+9,5,+2,26,237,3,26,0.5,Mar 01,20200331000036
Kuwait,266,+11,,,72,194,13,62,,Feb 23,20200331000036
Burkina Faso,246,+24,12,,31,203,,12,0.6,Mar 08,20200331000036
San Marino,230,+6,25,+3,13,192,16,"6,778",737,Feb 26,20200331000036
Cyprus,230,+16,7,+1,22,201,3,190,6,Mar 08,20200331000036
Réunion,224,+41,,,1,223,,250,,Mar 10,20200331000036
Albania,223,+11,11,+1,44,168,7,77,4,Mar 07,20200331000036
Vietnam,204,+10,,,55,149,3,2,,Jan 22,20200331000036
Oman,179,+12,,,29,150,3,35,,Feb 23,20200331000036
Afghanistan,170,+50,4,,2,164,,4,0.1,Feb 23,20200331000036
Cuba,170,+31,4,+1,4,162,2,15,0.4,Mar 10,20200331000036
Ivory Coast,168,+3,1,,6,161,,6,0.04,Mar 10,20200331000036
Faeroe Islands,168,+9,,,70,98,1,"3,438",,Mar 03,20200331000036
Senegal,162,+20,,,27,135,,10,,Mar 01,20200331000036
Malta,156,+5,,,2,154,4,353,,Mar 06,20200331000036
Ghana,152,,5,,2,145,1,5,0.2,Mar 11,20200331000036
Belarus,152,+58,,,32,120,2,16,,Feb 27,20200331000036
Uzbekistan,149,+5,2,,7,140,8,4,0.06,Mar 14,20200331000036
Channel Islands,141,+33,2,,,139,,811,12,Mar 08,20200331000036
Honduras,139,+29,7,+4,3,129,4,14,0.7,Mar 10,20200331000036
Cameroon,139,,6,,5,128,,5,0.2,Mar 05,20200331000036
Venezuela,135,+16,3,,39,93,6,5,0.1,Mar 12,20200331000036
Nigeria,131,+20,2,+1,8,121,,0.6,0.01,Feb 27,20200331000036
Mauritius,128,+21,3,,,125,1,101,2,Mar 17,20200331000036
Brunei,127,+1,1,,38,88,3,290,2,Mar 08,20200331000036
Sri Lanka,122,+5,2,+1,15,105,5,6,0.09,Jan 26,20200331000036
Palestine,117,+8,1,,18,98,,23,0.2,Mar 04,20200331000036
Cambodia,107,+4,,,21,86,1,6,,Jan 26,20200331000036
Guadeloupe,106,,4,,17,85,10,265,10,Mar 12,20200331000036
Georgia,103,+12,,,20,83,6,26,,Feb 25,20200331000036
Bolivia,97,+16,4,+3,,93,3,8,0.3,Mar 09,20200331000036
Kyrgyzstan,94,+10,,,3,91,,14,,Mar 17,20200331000036
Martinique,93,,1,,,92,12,248,3,Mar 04,20200331000036
Montenegro,91,+6,1,,,90,1,145,2,Mar 16,20200331000036
Trinidad and Tobago,83,+5,3,,1,79,,59,2,Mar 11,20200331000036
Mayotte,82,+19,,,10,72,3,301,,Mar 13,20200331000036
DRC,81,,8,,2,71,,0.9,0.09,Mar 09,20200331000036
Rwanda,70,,,,,70,,5,,Mar 13,20200331000036
Gibraltar,69,+4,,,34,35,,"2,048",,Mar 02,20200331000036
Paraguay,64,+5,3,,1,60,3,9,0.4,Mar 06,20200331000036
Liechtenstein,62,+6,,,,62,,"1,626",,Mar 02,20200331000036
Kenya,50,+8,1,,1,48,2,0.9,0.02,Mar 12,20200331000036
Aruba,50,,,,1,49,,468,,Mar 12,20200331000036
Bangladesh,49,+1,5,,19,25,1,0.3,0.03,Mar 07,20200331000036
Monaco,49,+3,1,,1,47,,"1,249",25,Feb 27,20200331000036
Isle of Man,49,+7,,,,49,,576,,Mar 18,20200331000036
French Guiana,43,,,,6,37,,144,,Mar 06,20200331000036
Madagascar,43,+4,,,,43,,2,,Mar 19,20200331000036
Macao,38,+1,,,10,28,,59,,Jan 21,20200331000036
Guatemala,36,+2,1,,10,25,1,2,0.06,Mar 12,20200331000036
Jamaica,36,+4,1,,2,33,,12,0.3,Mar 09,20200331000036
French Polynesia,36,+6,,,,36,2,128,,Mar 10,20200331000036
Zambia,35,+6,,,,35,,2,,Mar 17,20200331000036
Barbados,33,,,,,33,,115,,Mar 16,20200331000036
Uganda,33,,,,,33,,0.7,,Mar 20,20200331000036
Togo,30,+5,1,,1,28,,4,0.1,Mar 05,20200331000036
El Salvador,30,+6,,,,30,5,5,,Mar 18,20200331000036
Niger,27,+9,3,+2,,24,,1,0.1,Mar 18,20200331000036
Bermuda,27,+5,,,2,25,,434,,Mar 17,20200331000036
Mali,25,+7,2,+1,,23,,1,0.10,Mar 24,20200331000036
Ethiopia,23,+2,,,4,19,1,0.2,,Mar 12,20200331000036
Guinea,22,+6,,,,22,,2,,Mar 12,20200331000036
Congo,19,,,,,19,,3,,Mar 14,20200331000036
Tanzania,19,+5,,,1,18,,0.3,,Mar 15,20200331000036
Djibouti,18,,,,,18,,18,,Mar 17,20200331000036
Maldives,17,,,,13,4,,31,,Mar 06,20200331000036
Saint Martin,15,+4,1,+1,2,12,,388,26,Feb 29,20200331000036
Eritrea,15,+3,,,,15,,4,,Mar 20,20200331000036
Haiti,15,,,,1,14,,1,,Mar 19,20200331000036
New Caledonia,15,,,,,15,,53,,Mar 17,20200331000036
Bahamas,14,,,,1,13,,36,,Mar 14,20200331000036
Myanmar,14,+4,,,,14,,0.3,,Mar 22,20200331000036
Cayman Islands,12,,1,,,11,,183,15,Mar 12,20200331000036
Dominica,12,+1,,,,12,,167,,Mar 21,20200331000036
Equatorial Guinea,12,,,,,12,,9,,Mar 13,20200331000036
Mongolia,12,,,,2,10,,4,,Mar 09,20200331000036
Curaçao,11,+3,1,,2,8,,67,6,Mar 12,20200331000036
Namibia,11,,,,2,9,,4,,Mar 13,20200331000036
Syria,10,+1,2,+1,,8,,0.6,0.1,Mar 21,20200331000036
Greenland,10,,,,2,8,,176,,Mar 15,20200331000036
Grenada,9,,,,,9,,80,,Mar 21,20200331000036
Saint Lucia,9,,,,1,8,,49,,Mar 12,20200331000036
Eswatini,9,,,,,9,,8,,Mar 13,20200331000036
Guyana,8,,1,,,7,,10,1,Mar 11,20200331000036
Guinea-Bissau,8,+6,,,,8,,4,,Mar 24,20200331000036
Laos,8,,,,,8,,1,,Mar 23,20200331000036
Libya,8,,,,,8,,1,,Mar 23,20200331000036
Mozambique,8,,,,,8,,0.3,,Mar 21,20200331000036
Seychelles,8,,,,,8,,81,,Mar 13,20200331000036
Suriname,8,,,,,8,,14,,Mar 12,20200331000036
Angola,7,,2,,1,4,,0.2,0.06,Mar 19,20200331000036
Gabon,7,,1,,,6,,3,0.4,Mar 12,20200331000036
Zimbabwe,7,,1,,,6,,0.5,0.07,Mar 19,20200331000036
Antigua and Barbuda,7,,,,,7,,71,,Mar 12,20200331000036
Saint Kitts and Nevis,7,+5,,,,7,,132,,Mar 24,20200331000036
Sudan,6,,2,+1,,4,,0.1,0.05,Mar 12,20200331000036
Cabo Verde,6,,1,,,5,,11,2,Mar 19,20200331000036
Mauritania,6,+1,1,+1,2,3,,1,0.2,Mar 12,20200331000036
Benin,6,,,,,6,,0.5,,Mar 15,20200331000036
Vatican City,6,,,,,6,,"7,491",,Mar 05,20200331000036
St. Barth,6,+1,,,1,5,,607,,Feb 29,20200331000036
Sint Maarten,6,,,,,6,,140,,Mar 17,20200331000036
Nepal,5,,,,1,4,,0.2,,Jan 23,20200331000036
Chad,5,+2,,,,5,,0.3,,Mar 18,20200331000036
Fiji,5,,,,,5,,6,,Mar 18,20200331000036
Montserrat,5,,,,,5,,"1,002",,Mar 17,20200331000036
Turks and Caicos,5,+1,,,,5,,129,,Mar 22,20200331000036
Gambia,4,,1,,,3,,2,0.4,Mar 16,20200331000036
Nicaragua,4,,1,,,3,,0.6,0.2,Mar 18,20200331000036
Bhutan,4,,,,,4,,5,,Mar 05,20200331000036
Belize,3,+1,,,,3,,8,,Mar 22,20200331000036
Botswana,3,+3,,,,3,,1,,Mar 29,20200331000036
CAR,3,,,,,3,,0.6,,Mar 14,20200331000036
Liberia,3,,,,,3,,0.6,,Mar 15,20200331000036
Somalia,3,,,,,3,,0.2,,Mar 15,20200331000036
MS Zaandam,2,,,,,2,,,,Mar 26,20200331000036
Anguilla,2,,,,,2,,133,,Mar 25,20200331000036
British Virgin Islands,2,,,,,2,,66,,Mar 24,20200331000036
Papua New Guinea,1,,,,,1,,0.1,,Mar 19,20200331000036
St. Vincent Grenadines,1,,,,1,0,,9,,Mar 10,20200331000036
Timor-Leste,1,,,,,1,,0.8,,Mar 20,20200331000036
China,"81,470",+31,"3,304",+4,"75,700","2,466",633,57,2,Jan 10,20200331000036
Total:,"784,283","+60,893","37,780","+3,715","165,035","581,468","29,597",100.6,4.8,,20200331000036
