"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,timestamp
USA,"244,320","+29,317","5,897",+795,"10,403","228,020","5,421",738,18,20200403001104
Italy,"115,242","+4,668","13,915",+760,"18,278","83,049","4,053","1,906",230,20200403001104
Spain,"112,065","+7,947","10,348",+961,"26,743","74,974","6,092","2,397",221,20200403001104
Germany,"84,794","+6,813","1,107",+176,"22,440","61,247","3,936","1,012",13,20200403001104
France,"59,105","+2,116","5,387","+1,355","12,428","41,290","6,399",905,83,20200403001104
Iran,"50,468","+2,875","3,160",+124,"16,711","30,597","3,956",601,38,20200403001104
UK,"33,718","+4,244","2,921",+569,135,"30,662",163,497,43,20200403001104
Switzerland,"18,827","+1,059",536,+48,"4,013","14,278",348,"2,175",62,20200403001104
Turkey,"18,135","+2,456",356,+79,415,"17,364","1,101",215,4,20200403001104
Belgium,"15,348","+1,384","1,011",+183,"2,495","11,842","1,144","1,324",87,20200403001104
Netherlands,"14,697","+1,083","1,339",+166,250,"13,108","1,053",858,78,20200403001104
Canada,"11,283","+1,552",173,+59,"1,979","9,131",120,299,5,20200403001104
Austria,"11,129",+418,158,+12,"1,749","9,222",227,"1,236",18,20200403001104
S. Korea,"9,976",+89,169,+4,"5,828","3,979",55,195,3,20200403001104
Portugal,"9,034",+783,209,+22,68,"8,757",230,886,20,20200403001104
Brazil,"8,044","+1,164",324,+82,127,"7,593",296,38,2,20200403001104
Israel,"6,857",+765,36,+10,338,"6,483",107,792,4,20200403001104
Sweden,"5,568",+621,308,+69,103,"5,157",429,551,30,20200403001104
Australia,"5,314",+266,25,+2,585,"4,704",50,208,1.0,20200403001104
Norway,"5,147",+270,50,+6,32,"5,065",96,949,9,20200403001104
Czechia,"3,858",+269,44,+5,67,"3,747",72,360,4,20200403001104
Ireland,"3,849",+402,98,+13,5,"3,746",109,779,20,20200403001104
Russia,"3,548",+771,30,+6,235,"3,283",8,24,0.2,20200403001104
Chile,"3,404",+373,18,+2,335,"3,051",31,178,0.9,20200403001104
Denmark,"3,386",+279,123,+19,"1,089","2,174",153,585,21,20200403001104
Ecuador,"3,163",+405,120,+22,65,"2,978",100,179,7,20200403001104
Malaysia,"3,116",+208,50,+5,767,"2,299",105,96,2,20200403001104
Poland,"2,946",+392,57,+14,56,"2,833",50,78,2,20200403001104
Romania,"2,738",+278,115,+23,267,"2,356",78,142,6,20200403001104
Philippines,"2,633",+322,107,+11,51,"2,475",1,24,1.0,20200403001104
India,"2,543",+545,72,+14,191,"2,280",,2,0.05,20200403001104
Japan,"2,495",+111,62,+5,472,"1,961",60,20,0.5,20200403001104
Luxembourg,"2,487",+168,30,+1,80,"2,377",31,"3,973",48,20200403001104
Pakistan,"2,421",+303,34,+7,125,"2,262",9,11,0.2,20200403001104
Saudi Arabia,"1,885",+165,21,+5,328,"1,536",31,54,0.6,20200403001104
Thailand,"1,875",+104,15,+3,505,"1,355",23,27,0.2,20200403001104
Indonesia,"1,790",+113,170,+13,112,"1,508",,7,0.6,20200403001104
Greece,"1,544",+129,53,+2,61,"1,430",91,148,5,20200403001104
Finland,"1,518",+72,19,+2,300,"1,199",65,274,3,20200403001104
Panama,"1,475",+158,37,+5,9,"1,429",50,342,9,20200403001104
South Africa,"1,462",+82,5,,50,"1,407",7,25,0.08,20200403001104
Peru,"1,414",+91,55,+17,537,822,51,43,2,20200403001104
Dominican Republic,"1,380",+96,60,+3,16,"1,304",147,127,6,20200403001104
Mexico,"1,378",+163,37,+8,35,"1,306",1,11,0.3,20200403001104
Iceland,"1,319",+99,4,+2,284,"1,031",12,"3,865",12,20200403001104
Argentina,"1,265",+132,36,+4,256,973,,28,0.8,20200403001104
Serbia,"1,171",+111,31,+3,42,"1,098",81,134,4,20200403001104
Colombia,"1,161",+96,19,+2,55,"1,087",50,23,0.4,20200403001104
Singapore,"1,049",+49,4,+1,266,779,24,179,0.7,20200403001104
UAE,"1,024",+210,8,,96,920,2,104,0.8,20200403001104
Croatia,"1,011",+48,7,+1,88,916,34,246,2,20200403001104
Algeria,986,+139,86,+28,61,839,,22,2,20200403001104
Qatar,949,+114,3,+1,72,874,37,329,1,20200403001104
Ukraine,897,+103,22,+2,19,856,,21,0.5,20200403001104
Slovenia,897,+56,17,+2,70,810,31,431,8,20200403001104
Egypt,865,+86,58,+6,201,606,,8,0.6,20200403001104
Estonia,858,+79,11,+6,45,802,16,647,8,20200403001104
Hong Kong,802,+36,4,,154,644,8,107,0.5,20200403001104
New Zealand,797,+89,1,,92,704,2,165,0.2,20200403001104
Iraq,772,+44,54,+2,202,516,,19,1,20200403001104
Diamond Princess,712,,11,,619,82,10,,,20200403001104
Morocco,708,+54,44,+5,31,633,1,19,1,20200403001104
Armenia,663,+92,7,+3,33,623,30,224,2,20200403001104
Lithuania,649,+68,9,+1,7,633,11,238,3,20200403001104
Bahrain,643,+74,4,,381,258,3,378,2,20200403001104
Hungary,585,+60,21,+1,42,522,17,61,2,20200403001104
Bosnia and Herzegovina,533,+74,16,+3,20,497,4,162,5,20200403001104
Moldova,505,+82,6,+1,23,476,65,125,1,20200403001104
Lebanon,494,+15,16,+2,46,432,3,72,2,20200403001104
Latvia,458,+12,,,31,427,3,243,,20200403001104
Bulgaria,457,+35,10,,25,422,18,66,1,20200403001104
Tunisia,455,+32,14,+2,5,436,10,38,1,20200403001104
Kazakhstan,435,+55,3,,27,405,6,23,0.2,20200403001104
Andorra,428,+38,15,+1,10,403,12,"5,539",194,20200403001104
Slovakia,426,+26,1,,5,420,3,78,0.2,20200403001104
Azerbaijan,400,+41,5,,26,369,7,39,0.5,20200403001104
Costa Rica,396,+21,2,,6,388,11,78,0.4,20200403001104
North Macedonia,384,+30,11,,17,356,4,184,5,20200403001104
Cyprus,356,+36,10,+1,28,318,11,295,8,20200403001104
Uruguay,350,,4,+2,62,284,15,101,1,20200403001104
Kuwait,342,+25,,,81,261,15,80,,20200403001104
Taiwan,339,+10,5,,50,284,,14,0.2,20200403001104
Réunion,308,+27,,,40,268,3,344,,20200403001104
Cameroon,306,+73,7,+1,10,289,,12,0.3,20200403001104
Belarus,304,+141,4,+2,53,247,11,32,0.4,20200403001104
Jordan,299,+21,5,,45,249,5,29,0.5,20200403001104
Burkina Faso,288,+6,16,,50,222,,14,0.8,20200403001104
Albania,277,+18,16,+1,76,185,7,96,6,20200403001104
Afghanistan,273,+36,6,+2,10,257,,7,0.2,20200403001104
San Marino,245,+9,30,+2,21,194,15,"7,221",884,20200403001104
Cuba,233,+21,6,,13,214,7,21,0.5,20200403001104
Vietnam,233,+15,,,75,158,3,2,,20200403001104
Oman,231,+21,1,,57,173,3,45,0.2,20200403001104
Honduras,219,+47,14,+4,3,202,4,22,1,20200403001104
Uzbekistan,205,+24,2,,25,178,8,6,0.06,20200403001104
Ghana,204,+9,5,,31,168,2,7,0.2,20200403001104
Malta,196,+8,,,2,194,2,444,,20200403001104
Senegal,195,+5,1,,55,139,,12,0.06,20200403001104
Ivory Coast,194,+4,1,,15,178,,7,0.04,20200403001104
Channel Islands,193,+21,3,,,190,,"1,110",17,20200403001104
Nigeria,184,+10,2,,20,162,,0.9,0.01,20200403001104
Faeroe Islands,177,+4,,,81,96,1,"3,622",,20200403001104
Mauritius,169,+8,7,+1,,162,1,133,6,20200403001104
Palestine,161,+27,1,,18,142,,32,0.2,20200403001104
Sri Lanka,151,+5,4,+1,21,126,5,7,0.2,20200403001104
Venezuela,146,+2,5,+2,43,98,6,5,0.2,20200403001104
Montenegro,144,+21,2,,,142,4,229,3,20200403001104
Martinique,138,+3,3,,27,108,19,368,8,20200403001104
DRC,134,+25,13,+4,3,118,,1,0.1,20200403001104
Georgia,134,+17,,,26,108,6,34,,20200403001104
Brunei,133,+2,1,,56,76,3,304,2,20200403001104
Guadeloupe,128,+3,6,,24,98,14,320,15,20200403001104
Bolivia,123,+8,8,+1,1,114,3,11,0.7,20200403001104
Mayotte,116,+15,1,,10,105,3,425,4,20200403001104
Kyrgyzstan,116,+5,,,5,111,5,18,,20200403001104
Kenya,110,+29,3,+2,4,103,2,2,0.06,20200403001104
Cambodia,110,+1,,,34,76,1,7,,20200403001104
Niger,98,+24,5,,,93,,4,0.2,20200403001104
Isle of Man,95,+27,1,,,94,,"1,117",12,20200403001104
Trinidad and Tobago,94,+4,5,,1,88,,67,4,20200403001104
Gibraltar,88,+7,,,46,42,,"2,612",,20200403001104
Rwanda,84,+2,,,,84,,6,,20200403001104
Paraguay,77,+8,3,,2,72,4,11,0.4,20200403001104
Liechtenstein,75,+3,,,,75,,"1,967",,20200403001104
Monaco,60,+5,1,,2,57,2,"1,529",25,20200403001104
Aruba,60,+5,,,1,59,,562,,20200403001104
Madagascar,59,+2,,,,59,6,2,,20200403001104
Bangladesh,56,+2,6,,25,25,1,0.3,0.04,20200403001104
Guinea,52,+22,,,,52,,4,,20200403001104
French Guiana,51,,,,15,36,,171,,20200403001104
Jamaica,47,+3,3,,2,42,,16,1,20200403001104
Guatemala,47,+8,1,,12,34,1,3,0.06,20200403001104
Barbados,46,+1,,,,46,,160,,20200403001104
Uganda,45,+1,,,,45,,1.0,,20200403001104
El Salvador,41,+8,2,,,39,4,6,0.3,20200403001104
Macao,41,,,,10,31,,63,,20200403001104
Djibouti,40,+7,,,,40,,40,,20200403001104
Togo,39,+3,2,,17,20,,5,0.2,20200403001104
Zambia,39,+3,1,+1,,38,,2,0.05,20200403001104
French Polynesia,37,,,,,37,1,132,,20200403001104
Mali,36,+5,3,,,33,,2,0.1,20200403001104
Bermuda,35,+3,,,11,24,,562,,20200403001104
Ethiopia,29,,,,3,26,2,0.3,,20200403001104
Cayman Islands,28,+6,1,,,27,,426,15,20200403001104
Bahamas,24,+3,1,,1,22,,61,3,20200403001104
Congo,22,,2,,2,18,,4,0.4,20200403001104
Saint Martin,22,,1,,2,19,,569,26,20200403001104
Eritrea,22,+7,,,,22,,6,,20200403001104
Gabon,21,+3,1,,,20,,9,0.4,20200403001104
Myanmar,20,+4,1,,,19,,0.4,0.02,20200403001104
Tanzania,20,,1,,2,17,,0.3,0.02,20200403001104
Guyana,19,,4,+1,,15,,24,5,20200403001104
Maldives,19,,,,13,6,,35,,20200403001104
Sint Maarten,18,+2,1,,6,11,,420,23,20200403001104
New Caledonia,18,+2,,,1,17,,63,,20200403001104
Syria,16,+6,2,,,14,,0.9,0.1,20200403001104
Haiti,16,,,,1,15,,1,,20200403001104
Equatorial Guinea,15,,,,1,14,,11,,20200403001104
Mongolia,14,,,,2,12,,4,,20200403001104
Namibia,14,,,,3,11,,6,,20200403001104
Benin,13,,,,1,12,,1,,20200403001104
Saint Lucia,13,,,,1,12,,71,,20200403001104
Dominica,12,,,,,12,,167,,20200403001104
Curaçao,11,,1,,3,7,,67,6,20200403001104
Libya,11,+1,1,+1,,10,,2,0.1,20200403001104
Greenland,10,,,,2,8,,176,,20200403001104
Grenada,10,+1,,,,10,,89,,20200403001104
Laos,10,,,,,10,,1,,20200403001104
Mozambique,10,,,,,10,,0.3,,20200403001104
Seychelles,10,,,,,10,,102,,20200403001104
Suriname,10,,,,,10,,17,,20200403001104
MS Zaandam,9,,2,,,7,,,,20200403001104
Zimbabwe,9,+1,1,,,8,,0.6,0.07,20200403001104
Antigua and Barbuda,9,+2,,,,9,,92,,20200403001104
Guinea-Bissau,9,,,,,9,,5,,20200403001104
Saint Kitts and Nevis,9,+1,,,,9,,169,,20200403001104
Eswatini,9,,,,,9,,8,,20200403001104
Angola,8,,2,,1,5,,0.2,0.06,20200403001104
Sudan,8,+1,2,,2,4,,0.2,0.05,20200403001104
Chad,8,+1,,,,8,,0.5,,20200403001104
Fiji,7,+2,,,,7,,8,,20200403001104
Vatican City,7,+1,,,,7,,"8,739",,20200403001104
Cabo Verde,6,,1,,,5,,11,2,20200403001104
Mauritania,6,,1,,2,3,,1,0.2,20200403001104
Nepal,6,+1,,,1,5,,0.2,,20200403001104
Liberia,6,,,,,6,,1,,20200403001104
St. Barth,6,,,,1,5,,607,,20200403001104
Nicaragua,5,,1,,,4,,0.8,0.2,20200403001104
Bhutan,5,+1,,,1,4,,6,,20200403001104
Montserrat,5,,,,,5,,"1,002",,20200403001104
Somalia,5,,,,1,4,,0.3,,20200403001104
Turks and Caicos,5,,,,,5,,129,,20200403001104
Botswana,4,,1,,,3,,2,0.4,20200403001104
Gambia,4,,1,,2,1,,2,0.4,20200403001104
Anguilla,3,+1,,,,3,,200,,20200403001104
Belize,3,,,,,3,,8,,20200403001104
British Virgin Islands,3,,,,,3,,99,,20200403001104
Burundi,3,+1,,,,3,,0.3,,20200403001104
CAR,3,,,,,3,,0.6,,20200403001104
Malawi,3,+3,,,,3,,0.2,,20200403001104
Caribbean Netherlands,2,,,,,2,,76,,20200403001104
St. Vincent Grenadines,2,,,,1,1,,18,,20200403001104
Sierra Leone,2,,,,,2,,0.3,,20200403001104
Papua New Guinea,1,,,,,1,,0.1,,20200403001104
Timor-Leste,1,,,,,1,,0.8,,20200403001104
China,"81,589",+35,"3,318",+6,"76,408","1,863",429,57,2,20200403001104
Total:,"1,014,386","+79,190","52,993","+5,801","212,018","749,375","37,698",130.1,6.8,20200403001104
